skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Catapult Charged Ball	287				28												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																		4	Charged bolts per level															1								8																																					0
Catapult Spike Ball	288				28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																ln12		20	Spikes to launch	5	Spikes per level													1								8																																					0
Suck Blood	289			60	127																																																																																																								1	0		none												SQ	SQ	A1				1																						1																								1										par1	heal%							25	Percent life to boss															1								8		1						3																													0
Cry Help	290				128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1																						1																																		ln12	duration							100	Time for minions to attack target	20	Time per level													1								8																																					0
Healing Vortex	291													healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
Teleport 2	292				98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Self-resurrect	293			61																																																																																							38																		1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Vine Attack	294				130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	ln12	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1																						1																								1										ln12	# missiles					20	frames to apply aura to target	1	Number of vines	0	vines per level													1								8																																					0
Overseer Whip	295				131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																						1																								1										par1	chance							65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																					0
Barbs Aura	296				65																65795	barbscontrol	barbs		ln12	thorns_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	120	% thorns damage back	40	% thorns damage back per level									1								8																																					0
Wolverine Aura	297				65																65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	20	% attack rating bonus	6	% attack rating bonus per lvl	30	% damage increase	6	% damage increase per level					1								8																																					0
Oak Sage Aura	298				65																65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	20	% hitpoints more per level	6	% hitpoint bonus per level									1								8																																					0
Imp Fire Missile	299				132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
Impregnate	300				133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																						1																								1																			?		?		?		?		?		?					1								8																																					0
Siege Beast Stomp	301				134																				par5																																																															siege_beast_dust				75																		0		none												A2	A2	A2				1																						1																								1																		8	screen shake magnitude	5	screen shake bulid	20	screen shake duration	15	screen shake fade	25	radius of effect		?					1				1				8		24	12	24	36	48	48	48	12	24	36	48	48																								0
MinionSpawner	302			62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultBlizzard	303				28												catapult cold ball																																																																										47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultPlague	304				28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultMeteor	305				28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																		5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																					0
BoltSentry	306				17												sentrychargedbolt																																																																											23					sentrychargedbolt												1	0		none												SC	SC	xx																										1																								1										min(ln12,30)	# bolts					par8 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Bolts to send out	1	Bolts to send out per level											5	Shots Fired	1								8																																					0
CorpseCycler	307				28												verruption center																																																												druid_firecast_a											druid_fire_cast_2				28					verruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		1													15											1										par1	radius	par2	frequency					5	radius	6	Missile delay	0	Change duration in Missiles.xls									8	damage synergy	1								8															fire	18	18	27	36	45	45	36	18	27	36	45	45	(skill('Volcano'.blvl)+skill('Molten Boulder'.blvl)+skill('Firestorm'.blvl)+skill('Plague Poppy'.blvl)+skill('Vines'.blvl))*(par8*(1+stat('fire_multi'.accr)))									0
DeathMaul	308				136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																										1																								1										96	missile animrate								?		?		?		?		?		?					1								8		16	8	16	24	32	32	32	8	16	24	32	32																								0
Defense Curse	309				30																3		defense_curse	ln34	ln12	item_armor_percent	-ln56																																																																18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	50	% defense	5	% defense/lvl					1																																													0
Blood Mana	310				30																3		blood_mana	ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	40	Max hitpoints to remove curse							1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
mon inferno sentry	311													inferno sentry 1																																																																																		inferno sentry 1													1	0		none												SQ	SQ	xx																	1									1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																					0
mon death sentry	312				55																				ln34/2																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1															1																								1										par1	damage %	par2	damage %	50	fire %	par8	shots fired	20	% of base monster HP min damage	40	% of base monster HP max damage	16	radius (half squares)	1	additional radius/level (half squares)							7	Shots Fired	1								8															fire																						0
sentry lightning	313													sentrylightningbolt																																																																																		sentrylightningbolt													1	0		none												SQ	SQ	xx																	1									1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																					0
fenris rage	314				137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1									1																								1																		500	rage duration - see fenris rage	100	% damage with rage - see fenris rage													1								8																																					0
Baal Tentacle	315				140																																																																																																								1	0		none												S2	S2	S2				1																						1																								1																			?		?		?		?									1																																													0
Baal Nova	316				22												baal nova																																																												baal_novacast											fire_cast_2				25					baal nova												1	0		none												S3	S3	S3																										1																								1																																		1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0
Baal Inferno	317			53	95												baal inferno																																																												baal_missilecast															54					baal inferno												1	0		none												SQ	SQ	xx																										1																								1												par1	length of fire	2	density			20	frame length						?									1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0
Baal Cold Missiles	318				139												baal cold maker																																																												baal_coldtrailcast															81					baal cold maker												1	0		none												A1	A1	A1				1																						1																								1																																		1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0
MegademonInferno	319			53	95												megademoninferno																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																										1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
EvilHutSpawner	320			49	91															spawnedflames																																																																							36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
CountessFirewall	321				24												countessfirewallmaker	countessfirewall																																																											sorceress_cast_fire															26					countessfirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																																		1																																													0
ImpBolt	322				17												imp charged bolt																																																																											23					imp charged bolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
Horror Arctic Blast	323			53	95												frozenhorror arcticblast1																																																																											54					frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																									1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
death sentry ltng	324													sentrylightningbolt2																																																																																		sentrylightningbolt2													1	0		none												SQ	SQ	xx																	1									1																								1																																5	Shots Fired	1								8																																					0
VineCycler	325													vbomb in air		1									par1																																																								weapon_throw_1															vbomb in air													1	0		rng												S2	S2	S2				1													1									1														1										1																		5	radius													8	damage synergy	1								8															cold	8	8	12	16	20	20	16	8	12	16	20	20	(skill('Arctic Blast'.blvl)+skill('Hurricane'.blvl)+skill('Plague Poppy'.blvl)+skill('Cycle of Life'.blvl))*(par8*(1+stat('cold_multi'.accr)))	100								0
BearSmite	326			32	2																																																																								druidbear_attack_1																																1	9		h2h												S1	S1	xx				1		1	1																			1																																		ln34	damage %	max(250,ln12)	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																					0
Resurrect2	327				97																																																																																			healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																								1																																		1																																													0
BloodLordFrenzy	328			37	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																														weapon_giant_1		1		weapon_giant_1																												1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase									1	10	10						8	128																																				0
Baal Teleport	329				98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Imp Teleport	330				129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Baal Clone Teleport	331				98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
ZakarumLightning	332													monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
VampireMissile	333													firehead																																																																																		firehead													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
MephistoMissile	334													mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																										1																								1																																		1								8																																					0
DoomKnightMissile	335				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																										1																								1																																		1								8																																					0
RogueMissile	336				110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																										1																								1																																		1								8																																					0
HydraMissile	337													hydra																																																																																		hydra													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
NecromageMissile	338				149												necromage1																																																																											95					necromage1												1	0		none												SC	SC	A1																										1																								1																																		1								8																																					0
MonBow	339			4										cr_arrow6																																																																													11					cr_arrow6													1	0		rng												A1	A1	A1				1																						1																								1																																		1								8	128																																				0
MonFireArrow	340			4										firearrow																																																																													11					firearrow													1	0		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0
MonColdArrow	341			4										coldarrow																																																																													11					coldarrow													1	4		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25					0
MonExplodingArrow	342			4										explodingarrow																																																																													11					explodingarrow													1	5		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9										0
MonFreezingArrow	343			4										freezingarrow																																																																													11					freezingarrow													1	7		rng												A1	A1	A1				1																						1																								1										par1	damage radius							5	Radius of impact															1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25					0
MonPowerStrike	344			6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1											1																								1																																		1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12										0
SuccubusBolt	345			4										succubusmiss																																																																													11					succubusmiss													1	0		rng												SC	SC	S2				1																						1																								1																																		1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7										0
MephFrostNova	346				22												mephfrostnova	mephfrostnova	mephfrostnova																																																										sorceress_cast_cold															25					frostnova												1	6		none												SC	SC	A2																	1									1																								1																		9	radius of freeze	3	additional radius/level													1								8															cold	40	20	20	20	20	20	60	20	20	20	20	20		200	50	50	50					0
MonIceSpear	347			6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1											1																								1																																		1	20	15						8	128														cold	10	8	8	8	8	8	14	9	9	9	9	9		125	25	25	25					0
ShamanIce	348													glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold																			glacialspike													1	7		none												SC	SC	xx																	1									1																								1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level									1								8															cold	4	10	14	14	14	14	12	10	15	15	15	15		125	50	50	50					0
Diablogeddon	349				124												diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol			armageddon		ln12	par3																																																				druid_firecast_a																92				diablogeddontail	diablogeddonrock			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	S3				1																						1																								1																		1000	base duration	50	duration per level	8	radius to drop meteors	8	frame delay between rocks									1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	30	35	75	16	22	27	33	38										0
Delerium Change	350		delerium change		116																	delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																												45																		1	0		none												SC	SC	NU				1													1									1																																																										1								8																																					0
NihlathakCorpseExplosion	351			17	55																				6																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1									1																								1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental			6	% of base monster HP min damage	12	% of base monster HP max damage					50	% damage to do as elemental							1								8															fire																						0
SerpentCharge	352			31	67																																																																																						25	37																	1	2		none												SQ	A1	xx	4					1	1								1											1																																										150	percent increase in velocity			100	plus % damage	25	plus % dam per level									1	50	10						8	128																																				0
Trap Nova	353				22												trapnova	trapnova	trapnova																																																										sorceress_cast_lightning											light_cast_1				25					trapnova												1	2		none												SC	SC	xx																							sorceress_cast_lightning			1																																										12	number of missiles	4	additional missiles per level													1								8																																					0
UnHolyBoltEx	354													unholybolt1																																																																																		unholybolt1													1	0		none												SQ	SQ	xx																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ShamanFireEx	355													shafire1																																																																																		shafire1													1	0		none												SQ	SQ	xx																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Imp Fire Missile Ex	356													impmiss21																																																															sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
SuccubusMissile	357				148												d1succubusmiss																																																																											94					d1succubusmiss												1	0		none												SC	SC	S1																										1																								1																																		1								8																																					0
GHoly Fire	358				66																42883	holyfire			ln12/2																							firemindam	edmn	firemaxdam	edmx																																																										1	0		none														xx																																														0	8	0	0	1	1	1		25														6	radius	1	additional radius per level					6	damage to attack multiplier					7	synergy	1				16385				8															fire	16	4	8	12	16	32	32	8	16	24	32	64	(skill('IronGolem'.lvl)+skill('BloodGolem'.lvl)+skill('Clay Golem'.lvl))*(par8*(1+stat('fire_multi'.accr)))									0
DeathSpell	359				8												deathspell																																																												beholder_cast_3														19	17					deathspell	deathspell	bonecast										1	1		none												SC	SC	SC																	1									1													25																					min(ln12,24)/2	# missiles	par3	activation frame					5	number of missiles	1	additional missiles/level	0	Acivation frame of teeth											1								7															mag	30	30	45	60	75	75	30	30	45	60	75	75										0
Paralyze	360				30																3		paralyze	ln34	ln12	velocitypercent	-100	damageresist	par5	attackrate	-100	manarecoverybonus	-5000																																												beholder_cast_2														18	30					paralyze		cursecast										1	9		none												SC	SC	SC					4												1									1																																										2	radius	0	radius per level	60	duration	3	additional duration/level	-50	% -dam resist							1								8														((100+(skill('Synergy 1'.blvl)+skill('Synergy  2'.blvl)+skill('Synergy 3'.blvl))*(par8*(1+stat('phys_multi'.accr)))))*256																							0
BeholderMissile	361				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	A1																										1																								1																																		1								8																																					0
Eagle Eye	362	ama	eagleeye		18																	eagleeye		ln56+(skill('Inner Sight'.blvl)+skill('Slow Missiles'.blvl))*par6		attackrate	-MAX(50,80-lvl/2)	damagepercent	ln12	attackrate	ln34																																														assassin_quickness																																1	0		none												SC	SC	SC				1													1									30	20								1											1	7	20	1	1	1																	180	damage bonus	10	damage bonus per level	5	crushing blow bonus	1	crushing blow bonus per level	3000	duration	300	duration per level					1								8																																					100
Legendary Arrow	363	ama	legendary arrow	4	10												legendaryarrow	legendaryarrow	legendaryarrow																																																																								11	18					legendaryarrow	legendaryarrow	legendaryarrow										1	4	1	rng		miss										A1	A1	A1				1													1									24	20													1		1				1	8	8	0	1										ln34+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Guided Arrow'.blvl)+skill('Strafe'.blvl))*par8	dmg%											6	Damage percent	6	damage % per level							6	damage synergy	1								8	102																																				100
Dance of Death	364	ama	dance of death	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1		1									30	20													1						1	7	40	1											ln12+(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Impale'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl))*par8	damage%							0	Damage percent per attack	10	Damage percent per level	1	Attacks per tick									5	damage synergy	1			lvl*5					8	128														stun														15	1	1	1					100
SFire Wall	365	ama	sfire wall		24												sfirewallmaker	sfirewall																																																											sorceress_cast_fire											fire_cast_2				26					sfirewallmaker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire			18	25												20-((stat('cooldownrate'.accr)*2)/10)							1	7	44	1	1																																6	damage synergy	1								4															fire	10	5	10	15	20	20	20	5	10	15	20	20	(skill('Exploding Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Power Strike'.blvl)+skill('Poison Javelin'.blvl)+skill('SFrost Nova'.blvl)+skill('Dopplezon'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
SFrost Nova	366	ama	sfrost nova		22												sfrostnova	sfrostnova	sfrostnova																																																										sorceress_cast_cold											ice_cast_2				25					sfrostnova				13								1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			1	30																			1	6	24	1	1										18								9	radius of freeze	3	additional radius/level											7	damage synergy	1								7															cold	10	10	20	30	40	40	20	10	20	30	40	40	(skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Lightning Bolt'.blvl)+skill('SFire Wall'.blvl)+skill('Dopplezon'.blvl))*(par8*(1+stat('cold_multi'.accr)))	200	25	25	25					100
Time Stop	367	sor	timestop		22												timestop	timestop	timestop					min(300,ln34)																																																					amazon_handofathena											light_cast_1				25					timestop												1	10		none												SC	SC	SC																	1						amazon_eyeofzeus			30	20																			1	8	40	5	1																		25	radius	0	radius per level	125	duration	3	duration per level									1								8																																					100
Fanatic Swing	368	sor	fanatic swing	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1											12	25													1						1	8	2	0											min((par5+lvl-1), par6)	max targets	((lvl<5)?0:((lvl-4)*par4))+(skill('Warmth'.blvl)+skill('STwister'.blvl))*par8	damage %							60	% frame rollback	0	% damage percent	11	damage % per level	2	Targets	5	Max targets	4	fire damage synergy	8	damage synergy	1	10	10						8	128														fire	5	5	6	7	8	8	10	5	6	7	8	8	(skill('Enchant'.blvl)+skill('Thunder Storm'.blvl))*(par7*(1+stat('fire_multi'.accr)))									100
Aerial Shield	369	sor	aerial shield		18																	aerialshield		ln56+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par6		armorclass	edmn	item_fasterblockrate	ln34	item_fastergethitrate	ln34	item_fastercastrate	-min(100,ln78)																																												druid_windcast																																1	0		none												SC	SC	SC				1																						1	30								1											1	8	10	0	1	1																					5	fbr/fhr	5	fbr/fhr/lvl	2500	duration	250	duration per level	3	fcr penalty	3	fcr penalty/lvl	1								8																10	10	20	30	40	40																100
SEruption	370	sor	seruption		28												serruption center																																																												druid_firecast_a											druid_fire_cast_2				28					serruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		6	30												20-((stat('cooldownrate'.accr)*2)/10)							1	7	26	1	1										par1	radius	par2	frequency					7	radius	6	Missile delay	0	Change duration in Missiles.xls									7	damage synergy	1								8															fire	6	6	12	18	24	24	12	6	12	18	24	24	(skill('Blaze'.blvl)+skill('Fire Wall'.blvl)+skill('Nova'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
STwister	371	sor	stwister		118												stwister																																																												druid_windcast															68					stwister												1	0		none												SC	SC	SC				1													1									6	30													1						1	7	14	1	1										par1+blvl/6	# missiles							3	Number of twisters	25	Frames the target is stunned											7	damage synergy	1								0		6	6	12	18	24	24	12	6	12	18	24	24	((100+(skill('Fire Mastery'.blvl)+skill('Cold Mastery'.blvl)+skill('Lightning Mastery'.blvl))*(par8*(1+stat('phys_multi'.accr))))*(100+stat('passive_wind_mastery'.accr))/100)*256																							100
Poison Mastery	372	nec	poisonmastery		30																3		lowerpois	ln34+((skill('Dim Vision'.blvl)+skill('Decrepify'.blvl)+skill('Weaken'.blvl))*par8)	ln12	poisonresist	-(blvl>0)?(min(150,ln56*2-par5+skill('Summon Resist'.blvl)*par7)):(min(90,ln56+skill('Summon Resist'.blvl)*par7))	magicresist	-(blvl>0)?(min(150,ln56*2-par5+skill('Summon Resist'.blvl)*par7)):(min(90,ln56+skill('Summon Resist'.blvl)*par7))																																																necromancer_curse_cast														18	30					curselowerpois		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast			30	20								1											1	8	22	0	1																		6	radius	1	radius per level	500	duration	50	additional duration/level	30	lower pois resist	1	lower pois resist per level	1	resist synergy	25	duration synergy	1								8																																					100
Killer Scythe	373	nec	killer scythe	37	13																																																																																						53	21																	1	0		h2h		2hsw	knif									A1	A1	xx	9		1			1	1								1		1									6	30													1						1	8	4	0											4	max targets	ln34+(skill('Poison Dagger'.blvl)+skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl))*par8	damage %					1	additional target/level	80	% frame rollback	0	% damage percent	14	damage % per level							8	damage % per level	1	10	10						8	128																																				100
Hells Gate	374	nec	hells gate		22												hellsgate	hellsgate	hellsgate																																																										druid_summon											ice_cage_melt				25					hellsgate												1	3		none												SC	SC	xx																	1						druid_summon			30	20																			1	8	20	1	1																																8	damage synergy	1								0															mag	18	10	16	22	28	42	36	10	16	22	28	42	((100+(skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl)+skill('Poison Nova'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
SHydra	375	nec	shydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									hydra1	hydra	99	S2	SHydraMissile	lvl											1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		30	20												20-((stat('cooldownrate'.accr)*2)/10)							1	7	40	1	1																		250	duration	5	additional duration/level											7	damage synergy	1								8															fire	15	15	20	40	50	70	30	15	20	40	50	70	(skill('FireGolem'.blvl)+skill('Raise Skeletal Mage'.blvl)+skill('Skeleton Mastery'.blvl)+skill('Raise Skeleton'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
SBlade Fury	376	nec	sblade fury	26	48					par4							sbladefragment1																																																																										8	6					sbladefragment2												1	0		rng												SQ	A1	SC	23	12																								18	25													1	1			1	6	0	5	8	1	1																		0	Don't Use, missile range mod	0	Don't Use, missile range mod	3	Min Mana to start casting	5	Frame delay between blades									1								0	64	8	4	8	12	16	16	12	4	8	12	16	16	(100+stat('passive_wind_mastery'.accr)/100)*256																							100
Aura of Divinity	377	pal	auraofdivinity		65																73731	divineaura	divineaura		ln12	item_allskills	2+blvl/10	item_addexperience	dm56																																																																															1	1	6		none														xx																										30	20								1											0	8	0	0	1	1	1		50														5	radius	1	additional radius per level	0	cheaper prices min	0	cheaper prices max	0	exp bonus min	25	exp bonus max			5	synergy bonus	1								8																																					100
