name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Diadem	100	0	1	1	150	180	0	0	55	0	20	0	83	64	38000	627125	ci3	ci3	18	901	lit	lit	ci0	ci1	ci3	0	0	2	2	1	4	1	flpci2	invci3									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	3	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Alpha Helm	100	0	1	1	75	93	0	0	44	0	20	0	31	26	13150	46031	dr6	dr6		901	dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Griffon Headress	100	0	1	1	82	106	0	0	50	0	20	0	34	30	14282	46031	dr7	dr7		901	dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Hunter's Guise	100	0	1	1	90	120	0	0	56	0	20	0	41	29	18884	46032	dr8	dr8		901	dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sacred Feathers	100	0	1	1	97	133	0	0	62	0	20	0	45	32	19759	46032	dr9	dr9		901	dr4	dr4	dr4	dr9	dre	0	0	2	2	1	4	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Totemic Mask	100	0	1	1	105	147	0	0	65	0	20	0	49	41	24064	46033	dra	dra		901	dr1	dr1	dr5	dra	drf	0	0	2	2	1	4	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Jawbone Visor	100	0	2	1	67	85	0	0	58	0	25	0	31	25	13302	46031	ba6	ba6		901	ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Lion Helm	100	0	2	1	87	110	0	0	73	0	35	0	34	29	15689	46031	ba7	ba7		901	ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Rage Mask	100	0	2	1	105	133	0	0	88	0	45	0	41	29	20032	46032	ba8	ba8		901	ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3		invghm							0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Savage Helmet	100	0	2	1	121	153	0	0	103	0	50	0	45	32	23199	46032	ba9	ba9		901	ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Slayer Guard	100	0	2	1	136	172	0	0	118	0	55	0	49	40	28317	46033	baa	baa		901	ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Akaran Targe	100	0	2	1	100	112	0	0	44	10	20	0	31	26	21250	46033	pa6	pa6		901	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	24	32	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	1	0	xxx	xxx	0	0	1
Akaran Rondache	100	0	2	1	113	129	0	0	59	15	30	0	34	30	25471	46033	pa7	pa7		901	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	30	40	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	1	0	xxx	xxx	0	0	1
Protector Shield	100	0	2	1	130	150	0	5	69	20	40	0	41	34	31474	46034	pa8	pa8		901	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	36	48	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Guilded Shield	100	0	2	1	151	175	0	5	89	22	50	0	45	38	37404	46034	pa9	pa9		901	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	40	56	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Royal Shield	100	0	2	1	176	204	0	0	114	25	60	0	49	41	42687	46035	paa	paa		901	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	48	64	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Mummified Trophy	100	0	1	1	67	85	0	0	38	3	20	0	31	24	10795	46035	ne6	ne6		901	ne1	dr1	ne1	ne6	neb	0	10	2	2	1	4	2	flpne1	invne1									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			1	8	0	xxx	xxx	0	0	1
Fetish Trophy	100	0	1	1	75	99	0	0	41	5	20	0	34	29	12420	46035	ne7	ne7		901	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	4	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Sexton Trophy	100	0	1	1	82	112	0	0	47	8	20	0	41	33	14085	46036	ne8	ne8		901	ne3	bhm	ne3	ne8	ned	0	10	2	2	1	4	2	flpne3	invne3									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Cantor Trophy	100	0	1	1	90	126	0	0	50	10	20	0	45	36	16375	46036	ne9	ne9		901	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	4	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Heirophant Trophy	100	0	1	1	97	139	0	0	58	12	20	0	49	40	18997	46037	nea	nea		901	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5		invne5							0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Blood Spirt	100	0	1	1	150	180	0	0	86	0	20	0	58	46	35878	211957	drb	drb		901	dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sun Spirit	100	0	1	1	165	201	0	0	95	0	20	0	60	51	39309	211958	drc	drc		901	dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Earth Spirit	100	0	1	1	180	222	0	0	104	0	20	0	66	57	44865	211958	drd	drd		901	dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sky Spirit	100	0	1	1	195	243	0	0	113	0	20	0	70	62	48288	211959	dre	dre		901	dr4	dr4	dr4	dr9	dre	0	0	2	2	1	4	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Dream Spirit	100	0	1	1	210	264	0	0	118	0	20	0	74	66	51072	211959	drf	drf		901	dr1	dr1	dr5	dra	drf	0	0	2	2	1	4	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Carnage Helm	100	0	2	1	135	165	0	0	106	0	25	0	58	45	35325	211959	bab	bab		901	ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Fury Visor	100	0	2	1	159	194	0	0	129	0	35	0	60	49	39106	211960	bac	bac		901	ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Destroyer Helm	100	0	2	1	182	221	0	0	151	0	45	0	66	54	44441	211960	bad	bad		901	ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3		invghm							0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Conquerer Crown	100	0	2	1	202	245	0	0	174	0	50	0	70	60	49139	211961	bae	bae		901	ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Guardian Crown	100	0	2	1	221	267	0	0	196	0	55	0	74	65	53922	211961	baf	baf		901	ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sacred Targe	100	0	2	1	125	145	0	0	86	30	45	0	58	47	41309	46033	pab	pab		901	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	44	140	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Sacred Rondache	100	0	2	1	146	170	0	0	109	28	68	0	60	52	47830	46033	pac	pac		901	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	70	116	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Ancient Shield	100	0	2	1	171	199	0	5	124	25	55	0	66	55	53838	46034	pad	pad		901	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	20	164	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Zakarum Shield	100	0	2	1	200	232	0	5	142	22	65	0	70	61	65021	46034	pae	pae		901	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	92	92	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Vortex Shield	100	0	2	1	233	269	0	0	148	19	90	0	74	66	74930	46035	paf	paf		901	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	10	174	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Minion Skull	100	0	1	1	135	165	0	0	77	3	20	0	58	44	33066	46035	neb	neb		901	ne1	dr1	ne1	ne6	neb	0	10	2	2	1	4	2	flpne1	invne1									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Hellspawn Skull	100	0	1	1	150	186	0	0	82	5	20	0	60	50	37219	46035	neg	neg		901	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	4	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Overseer Skull	100	0	1	1	165	207	0	0	91	8	20	0	66	49	37061	46036	ned	ned		901	ne3	bhm	ne3	ne8	ned	0	10	2	2	1	4	2	flpne3	invne3									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Succubae Skull	100	0	1	1	180	228	0	0	95	10	20	0	70	60	45231	46036	nee	nee		901	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	4	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Bloodlord Skull	100	0	1	1	195	249	0	0	106	12	20	0	74	65	48119	46037	nef	nef		901	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Hood	0	0	1	1	130	166	0	0	40	0	12	0	57	43	27154	256796	yap	yap		901	cap	cap	cap	xap	yap	0	0	2	2	1	4	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Fedora	0	0	4	1	150	190	0	0	90	0	18	0	59	47	29370	289138	ykp	ykp		901	skp	skp	skp	xkp	ykp	0	0	2	2	1	4	1	flpfhl	invskp		invskp							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Guardian Helm	0	0	4	1	170	214	0	0	105	0	24	0	63	51	33970	340852	ylm	ylm		901	hlm	hlm	hlm	xlm	ylm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invcap							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Gladiator Helm	0	0	4	1	189	232	0	0	120	0	30	0	65	52	35903	383932	yhl	yhl		901	fhl	fhl	fhl	xhl	yhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	1	0	xxx	xxx	0	0	1
Tusk Helm	0	0	4	1	209	255	0	5	135	0	40	0	73	59	39584	425440	yhm	yhm		901	ghm	ghm	ghm	xhm	yhm	0	0	2	2	1	4	1	flpghm	invghm		invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	1	0	xxx	xxx	0	0	1
Royal Crown	0	0	4	1	217	265	0	5	130	0	50	0	77	66	52385	473977	yrn	yrn		901	crn	crn	crn	xrn	yrn	0	0	2	2	1	4	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Devil Mask	0	0	4	1	195	239	0	0	110	0	20	0	69	55	43289	404852	ysk	ysk		901	msk	msk	msk	xsk	ysk	0	0	2	2	1	4	1	flpmsk	invmsk		invgriffithhelm							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Padded Armor	0	0	1	1	573	584	0	0	80	0	20	0	57	49	103261	763317	yui	yui		901	qlt	qlt	qui	xui	yui	0	1	2	3	1	4	2	flpqlt	invqlt							1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Viper Skin	0	0	2	1	585	592	0	0	90	0	24	0	58	50	107117	808374	yea	yea		901	lea	lea	lea	xea	yea	0	1	2	3	1	4	2	flplea	invlea					1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demon Carapace	0	0	3	1	593	601	0	0	100	0	28	0	59	51	109658	856223	yla	yla		901	hla	hla	hla	xla	yla	0	1	2	3	1	4	2	flphla	invhla		invchn	1	1	1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Gemstoned Armor	0	0	4	1	602	611	0	0	80	0	32	0	61	53	102220	828955	ytu	ytu		901	stu	stu	stu	xtu	ytu	0	1	2	3	1	4	2	flpstu	invstu	invxtuu	invxtuu	1			1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Heavy Mail	0	0	4	1	612	622	0	10	95	0	26	0	63	54	106774	902369	yng	yng		901	rng	rng	rng	xng	yng	0	1	2	3	1	5	2	flprng	invrng					1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Dragon Scale	0	0	4	1	623	634	0	15	110	0	36	0	64	55	109866	957816	ycl	ycl		901	scl	scl	scl	xcl	ycl	0	1	2	3	1	6	2	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Chain Shirt	0	0	4	1	635	647	0	10	115	0	45	0	65	47	96080	1019536	yhn	yhn		901	chn	chn	chn	xhn	yhn	0	1	2	3	1	5	2	flpchn	invchn		invrob	1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Chest Guard	0	0	4	1	648	661	1	5	85	0	50	0	68	56	113882	1075476	yrs	yrs		901	brs	brs	brs	xrs	yrs	0	1	2	3	1	4	2	flpbrs	invbrs	invxrss				2		2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Demon Fleece	0	0	4	1	662	681	0	10	125	0	30	0	70	57	119140	1158158	ypl	ypl		901	spl	spl	spl	xpl	ypl	0	1	2	3	1	5	2	flpspl	invspl		invgth	1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Plated Cuirass	0	0	4	1	693	709	0	15	150	0	60	0	74	59	117549	1204145	ylt	ylt		901	plt	plt	plt	xlt	ylt	0	1	2	3	1	6	2	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Combat Plate	0	0	4	1	710	727	2	10	130	0	48	0	77	61	120506	1284496	yld	yld		901	fld	fld	fld	xld	yld	0	1	2	3	1	5	2	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Royal Armor	0	0	4	1	728	746	0	10	160	0	55	0	79	62	114409	1394360	yth	yth		901	gth	gth	gth	xth	yth	0	1	2	3	1	5	2	flpgth	invgth		invflesh	2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Ceremonial Armor	0	0	4	1	767	787	2	15	175	0	70	0	81	64	126160	1431299	yul	yul		901	ful	ful	ful	xul	yul	0	1	2	3	1	6	2	flpful	invfulu		invypls	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Archaic Armor	0	0	4	1	810	832	5	10	215	0	60	0	83	66	126406	1588469	yar	yar		901	aar	aar	aar	xar	yar	0	1	2	3	1	5	2	flpaar	invaaru	invaaru	invaaru	1	2	2	2	2		0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
