Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add	sort
of Intelligence	100	1	1	15	35	12				28	305	cast1		8	12											amul	ring									0	0	0	608
of Intelligence	100	1	1	25	60	24				26	305	cast1		10	14											amul	ring									0	0	0	609
of Perception	100	1	1	45	95	42				24	305	cast1		12	16											amul	ring									0	0	0	610
of Perception	100	1	1	80		60				22	305	cast1		14	18											amul	ring									0	0	0	611
of Perception	100	1	1	95		66				20	305	cast2		16	20											amul	ring									0	0	0	612
																																							613
of the Carbuncle	100	1	1	20	60	18				15	306	gold%		6	12											ring										0	0	0	614
of the Carbuncle	100	1	1	60	95	48				14	306	gold%		10	16											ring										0	0	0	615
of the Leprechaun	100	1	1	80		60				13	306	gold%		14	20											ring										0	0	0	616
of the Leprechaun	100	1	1	95		66				12	306	gold%		18	24											ring										0	0	0	617
of the Leprechaun	100	1	1	95		66				4	306	gold%/lvl	3													ring										0	0	0	618
																																							619
of the Drawf	100	1	1	20	60	18				15	307	mag%		6	12											amul										0	0	0	620
of the Drawf	100	1	1	60	95	48				14	307	mag%		10	16											amul										0	0	0	621
of the Sarimanok	100	1	1	80		60				13	307	mag%		14	20											amul										0	0	0	622
of the Sarimanok	100	1	1	95		66				12	307	mag%		18	24											amul										0	0	0	623
of the Sarimanok	100	1	1	95		66				4	307	mag%/lvl	3													amul										0	0	0	624
																																							625
of Sengir	100	1	1	5	15	3				18	308	lifesteal		1	1											ring										0	0	0	626
of Sengir	100	1	1	15	35	12				18	308	lifesteal		1	2											ring										0	0	0	627
of Falkenrath	100	1	1	25	60	24				18	308	lifesteal		2	3											ring										0	0	0	628
of Falkenrath	100	1	1	45	95	42				16	308	lifesteal		2	4											ring										0	0	0	629
of Voldaren	100	1	1	80		60				14	308	lifesteal		3	5											ring										0	0	0	630
of Voldaren	100	1	1	95		66				12	308	lifesteal		3	6											ring										0	0	0	631
																																							632
of Malakir	100	1	1	5	15	3				18	309	manasteal		1	1											ring										0	0	0	633
of Malakir	100	1	1	15	35	12				18	309	manasteal		1	2											ring										0	0	0	634
of Markov	100	1	1	25	60	24				18	309	manasteal		2	3											ring										0	0	0	635
of Markov	100	1	1	45	95	42				16	309	manasteal		2	4											ring										0	0	0	636
of Stormkirk	100	1	1	80		60				14	309	manasteal		3	5											ring										0	0	0	637
of Stormkirk	100	1	1	95		66				12	309	manasteal		3	6											ring										0	0	0	638
																																							639
of the Bloodseeker	100	1	1	5	15	3				18	308	heal-kill		1	3											ring										0	0	0	640
of the Bloodseeker	100	1	1	15	35	12				18	308	heal-kill		3	6											ring										0	0	0	641
of the Bloodcrazed	100	1	1	25	60	24				18	308	heal-kill		5	9											ring										0	0	0	642
of the Bloodcrazed	100	1	1	45	95	42				16	308	heal-kill		7	12											ring										0	0	0	643
of the Bloodfire	100	1	1	80		60				14	308	heal-kill		9	15											ring										0	0	0	644
of the Bloodfire	100	1	1	95		66				12	308	heal-kill		11	18											ring										0	0	0	645
																																							646
of Mana Geyser	100	1	1	5	15	3				18	309	mana-kill		1	3											ring										0	0	0	647
of Mana Geyser	100	1	1	15	35	12				18	309	mana-kill		3	6											ring										0	0	0	648
of Mana Flare	100	1	1	25	60	24				18	309	mana-kill		5	9											ring										0	0	0	649
of Mana Flare	100	1	1	45	95	42				16	309	mana-kill		7	12											ring										0	0	0	650
of Mana Echoes	100	1	1	80		60				14	309	mana-kill		9	15											ring										0	0	0	651
of Mana Echoes	100	1	1	95		66				12	309	mana-kill		11	18											ring										0	0	0	652
																																							653
of the Simurgh	100	1	1	5	15	3				28	310	regen		7	14	hp/lvl	1									amul										0	0	0	654
of the Simurgh	100	1	1	15	35	12				28	310	regen		12	19	hp/lvl	1									amul										0	0	0	655
of the Simurgh	100	1	1	25	60	24				26	310	regen		17	24	hp/lvl	1									amul										0	0	0	656
of the Phoenix	100	1	1	45	95	42				24	310	regen		22	29	hp/lvl	2									amul										0	0	0	657
of the Phoenix	100	1	1	80		60				22	310	regen		27	34	hp/lvl	2									amul										0	0	0	658
of the Phoenix	100	1	1	95		66				20	310	regen		32	39	hp/lvl	2									amul										0	0	0	659
																																							660
of the Vault	100	1	1	5	15	3				28	311	regen-mana		7	14	mana/lvl	2									amul										0	0	0	661
of the Vault	100	1	1	15	35	12				28	311	regen-mana		12	19	mana/lvl	2									amul										0	0	0	662
of the Vault	100	1	1	25	60	24				26	311	regen-mana		17	24	mana/lvl	2									amul										0	0	0	663
of the Crypt	100	1	1	45	95	42				24	311	regen-mana		22	29	mana/lvl	3									amul										0	0	0	664
of the Crypt	100	1	1	80		60				22	311	regen-mana		27	34	mana/lvl	3									amul										0	0	0	665
of the Crypt	100	1	1	95		66				20	311	regen-mana		32	39	mana/lvl	3									amul										0	0	0	666
																																							667
of Belief	100	1	1	20	60	18				16	312	allskills		1	1											amul	ring									0	0	0	668
of Belief	100	1	1	60	95	48				16	312	allskills		1	1											amul										0	0	0	669
of Belief	100	1	1	60		48				16	312	allskills		1	1											ring										0	0	0	669
of Faith	100	1	1	80		60				12	312	allskills		1	2											amul	ring									0	0	0	670
of Faith	100	1	1	95		66				8	312	allskills		2	2											amul										0	0	0	671
of Faith	100	1	1	95		66				8	312	allskills		2	3											amul										0	0	0	671
																																							
of the Yamabushi	100	1	1	20	60	18				22	210	crush		2	4											zamu	zrin											0	0
of the Yamabushi	100	1	1	60	95	48				22	210	crush		3	6											zamu	zrin											0	0
of the Yamabushi	100	1	1	80		60				20	210	crush		4	8											zamu	zrin											0	0
of Sokenzan	100	1	1	95		66				18	210	crush		5	10											zamu	zrin											0	0
of Sokenzan	100	1	1	95		66				16	210	crush		6	12											zamu												0	0
																																							
of the Moonfolk	100	1	1	20	60	18				22	210	enr%		1	4											samu	srin											0	0
of the Moonfolk	100	1	1	60	95	48				22	210	enr%		2	5											samu	srin											0	0
of the Moonfolk 	100	1	1	80		60				20	210	enr%		3	6											samu	srin											0	0
of Otawara	100	1	1	95		66				18	210	enr%		4	7											samu	srin											0	0
of Otawara	100	1	1	95		66				16	210	enr%		5	8											samu												0	0
																																							
of the Nezumi	100	1	1	20	60	18				22	210	red-mag		2	8	res-pois-len		0	15							namu	nrin											0	0
of the Nezumi	100	1	1	60	95	48				22	210	red-mag		4	10	res-pois-len		5	30							namu	nrin											0	0
of the Nezumi	100	1	1	80		60				20	210	red-mag		6	12	res-pois-len		20	45							namu	nrin											0	0
of Shizo	100	1	1	95		66				18	210	red-mag		8	14	res-pois-len		35	60							namu	nrin											0	0
of Shizo	100	1	1	95		66				16	210	red-mag		10	16	res-pois-len		50	75							namu												0	0
																																							
of the Samurai	100	1	1	20	60	18				22	210	red-dmg		2	6	red-dmg%		0	1							pamu	prin											0	0
of the Samurai	100	1	1	60	95	48				22	210	red-dmg		4	8	red-dmg%		1	2							pamu	prin											0	0
of the Samurai	100	1	1	80		60				20	210	red-dmg		6	10	red-dmg%		2	3							pamu	prin											0	0
of Eiganjo	100	1	1	95		66				18	210	red-dmg		8	12	red-dmg%		3	4							pamu	prin											0	0
of Eiganjo	100	1	1	95		66				16	210	red-dmg		10	14	red-dmg%		4	5							pamu												0	0
																																							
of the Sanzoku 	100	1	1	20	60	18				22	210	hp/str		4	4											bamu	brin											0	0
of the Sanzoku	100	1	1	60	95	48				22	210	hp/str		5	5											bamu	brin											0	0
of the Sanzoku	100	1	1	80		60				20	210	hp/str		6	6											bamu	brin											0	0
of Shinka	100	1	1	95		66				18	210	hp/str		7	7											bamu	brin											0	0
of Shinka	100	1	1	95		66				16	210	hp/str		8	8											bamu												0	0
																																							
of the Monk	100	1	1	20	60	18				22	210	abs-all		2	4	abs-all%		0	1							damu	drin											0	0
of the Monk	100	1	1	60	95	48				22	210	abs-all		4	6	abs-all%		0	1							damu	drin											0	0
of the Monk	100	1	1	80		60				20	210	abs-all		6	8	abs-all%		1	1							damu	drin											0	0
of Okina	100	1	1	95		66				18	210	abs-all		8	10	abs-all%		1	2							damu	drin											0	0
of Okina	100	1	1	95		66				16	210	abs-all		10	12	abs-all%		2	2							damu												0	0
																																							
of the Ronin	100	1	1	20	60	18				22	210	res-curse-len		2	12											aamu	arin											0	0
of the Ronin	100	1	1	60	95	48				22	210	res-curse-len		4	14											aamu	arin											0	0
of the Ronin	100	1	1	80		60				20	210	res-curse-len		6	16											aamu	arin											0	0
of Takenuma	100	1	1	95		66				18	210	res-curse-len		8	18											aamu	arin											0	0
of Takenuma	100	1	1	95		66				16	210	res-curse-len		10	20											aamu												0	0
																																							672
of Mettle	100	1	1	5	15	3				28	350	str		3	6											jewl										0	0	0	673
of Mettle	100	1	1	15	35	12				28	350	str		4	8											jewl										0	0	0	674
of Mettle	100	1	1	25	60	24				28	350	str		5	10											jewl										0	0	0	675
of Fortitude	100	1	1	45	95	42				26	350	str		6	12											jewl										0	0	0	676
of Fortitude	100	1	1	80		60				22	350	str		7	14											jewl										0	0	0	677
of Fortitude	100	1	1	95		66				18	350	str		8	16											jewl										0	0	0	678
of Determination	100	1	1	95		66				2	350	str		10	18	str%		1	2							jewl										0	0	0	679
																																							680
of the Mongoose	100	1	1	5	15	3				28	351	dex		3	6											jewl										0	0	0	681
of the Mongoose	100	1	1	15	35	12				28	351	dex		4	8											jewl										0	0	0	682
of the Mongoose	100	1	1	25	60	24				28	351	dex		5	10											jewl										0	0	0	683
of the Lynx	100	1	1	45	95	42				26	351	dex		6	12											jewl										0	0	0	684
of the Lynx	100	1	1	80		60				22	351	dex		7	14											jewl										0	0	0	685
of the Lynx	100	1	1	95		66				18	351	dex		8	16											jewl										0	0	0	686
of the Meerkat	100	1	1	95		66				2	351	dex		10	18	dex%		1	2							jewl										0	0	0	687
																																							688
of Divination	100	1	1	5	15	3				28	352	enr		3	6											jewl										0	0	0	689
of Divination	100	1	1	15	35	12				28	352	enr		4	8											jewl										0	0	0	690
of Divination	100	1	1	25	60	24				28	352	enr		5	10											jewl										0	0	0	691
of Prediction	100	1	1	45	95	42				26	352	enr		6	12											jewl										0	0	0	692
of Prediction	100	1	1	80		60				22	352	enr		7	14											jewl										0	0	0	693
of Prediction	100	1	1	95		66				18	352	enr		8	16											jewl										0	0	0	694
of Augury	100	1	1	95		66				2	352	enr		10	18	enr%		1	2							jewl										0	0	0	695
																																							696
of Brio	100	1	1	5	15	3				28	353	vit		3	6											jewl										0	0	0	697
of Brio	100	1	1	15	35	12				28	353	vit		4	8											jewl										0	0	0	698
of Brio	100	1	1	25	60	24				28	353	vit		5	10											jewl										0	0	0	699
of Intensity	100	1	1	45	95	42				26	353	vit		6	12											jewl										0	0	0	700
of Intensity	100	1	1	80		60				22	353	vit		7	14											jewl										0	0	0	701
of Intensity	100	1	1	95		66				18	353	vit		8	16											jewl										0	0	0	702
of Fervour	100	1	1	95		66				2	353	vit		10	18	vit%		1	2							jewl										0	0	0	703
																																							704
of Eruption	100	1	1	5	15	3				26	354	extra-fire		1	3											jewl										0	0	0	705
of Eruption	100	1	1	15	35	12				26	354	extra-fire		2	4											jewl										0	0	0	706
of Eruption	100	1	1	25	60	24				26	354	extra-fire		3	5											jewl										0	0	0	707
of Explosion	100	1	1	45	95	42				24	354	extra-fire		4	6											jewl										0	0	0	708
of Explosion	100	1	1	80		60				22	354	extra-fire		5	7											jewl										0	0	0	709
of Explosion	100	1	1	95		66				16	354	extra-fire		6	8											jewl										0	0	0	710
of Detonation	100	1	1	95		66				2	354	extra-fire		7	9	pierce-fire		1	1							jewl										0	0	0	711
																																							712
of Frigidity	100	1	1	5	15	3				26	354	extra-cold		1	3											jewl										0	0	0	713
of Frigidity	100	1	1	15	35	12				26	354	extra-cold		2	4											jewl										0	0	0	714
of Frigidity	100	1	1	25	60	24				26	354	extra-cold		3	5											jewl										0	0	0	715
of Frostbite	100	1	1	45	95	42				24	354	extra-cold		4	6											jewl										0	0	0	716
of Frostbite	100	1	1	80		60				22	354	extra-cold		5	7											jewl										0	0	0	717
of Frostbite	100	1	1	95		66				16	354	extra-cold		6	8											jewl										0	0	0	718
of Glaciation	100	1	1	95		66				2	354	extra-cold		7	9	pierce-cold		1	1							jewl										0	0	0	719
																																							720
of Thunderstroke	100	1	1	5	15	3				26	354	extra-ltng		1	3											jewl										0	0	0	721
of Thunderstroke	100	1	1	15	35	12				26	354	extra-ltng		2	4											jewl										0	0	0	722
of Thunderstroke	100	1	1	25	60	24				26	354	extra-ltng		3	5											jewl										0	0	0	723
of Thunderbolt	100	1	1	45	95	42				24	354	extra-ltng		4	6											jewl										0	0	0	724
of Thunderbolt	100	1	1	80		60				22	354	extra-ltng		5	7											jewl										0	0	0	725
of Thunderbolt	100	1	1	95		66				16	354	extra-ltng		6	8											jewl										0	0	0	726
of Thunderstorm	100	1	1	95		66				2	354	extra-ltng		7	9	pierce-ltng		1	1							jewl										0	0	0	727
																																							728
of Bane	100	1	1	5	15	3				26	354	extra-pois		1	3											jewl										0	0	0	729
of Bane	100	1	1	15	35	12				26	354	extra-pois		2	4											jewl										0	0	0	730
of Bane	100	1	1	25	60	24				26	354	extra-pois		3	5											jewl										0	0	0	731
of Contagion	100	1	1	45	95	42				24	354	extra-pois		4	6											jewl										0	0	0	732
of Contagion	100	1	1	80		60				22	354	extra-pois		5	7											jewl										0	0	0	733
of Contagion	100	1	1	95		66				16	354	extra-pois		6	8											jewl										0	0	0	734
of Sepsis	100	1	1	95		66				2	354	extra-pois		7	9	pierce-pois		1	1							jewl										0	0	0	735
																																							736
of Profanity	100	1	1	5	15	3				26	354	extra-mag2		1	3											jewl										0	0	0	737
of Profanity	100	1	1	15	35	12				26	354	extra-mag2		2	4											jewl										0	0	0	738
of Profanity	100	1	1	25	60	24				26	354	extra-mag2		3	5											jewl										0	0	0	739
of Desecration	100	1	1	45	95	42				24	354	extra-mag2		4	6											jewl										0	0	0	740
of Desecration	100	1	1	80		60				22	354	extra-mag2		5	7											jewl										0	0	0	741
of Desecration	100	1	1	95		66				16	354	extra-mag2		6	8											jewl										0	0	0	742
of Sacrilege	100	1	1	95		66				2	354	extra-mag2		7	9	pierce-mag		1	1							jewl										0	0	0	743
																																							744
of Gale	100	1	1	5	15	3				26	354	extra-wind		1	3											jewl										0	0	0	745
of Gale	100	1	1	15	35	12				26	354	extra-wind		2	4											jewl										0	0	0	746
of Gale	100	1	1	25	60	24				26	354	extra-wind		3	5											jewl										0	0	0	747
of Typhoon	100	1	1	45	95	42				24	354	extra-wind		4	6											jewl										0	0	0	748
of Typhoon	100	1	1	80		60				22	354	extra-wind		5	7											jewl										0	0	0	749
of Typhoon	100	1	1	95		66				16	354	extra-wind		6	8											jewl										0	0	0	750
of Hurricane	100	1	1	95		66				2	354	extra-wind		7	9	pierce-phys		1	1							jewl										0	0	0	751
																																							752
of Coinage	100	1	1	20	60	18				13	355	gold%		3	6											jewl										0	0	0	753
of Coinage	100	1	1	60		48				12	355	gold%		5	8											jewl										0	0	0	754
of Wealth	100	1	1	80		60				11	355	gold%		7	10											jewl										0	0	0	755
of Wealth	100	1	1	95		66				10	355	gold%		9	12											jewl										0	0	0	756
of Treasure	100	1	1	95		66				2	355	gold%/lvl	2													jewl										0	0	0	757
																																							758
of Alchemy	100	1	1	20	60	18				13	356	mag%		3	6											jewl										0	0	0	759
of Alchemy	100	1	1	60		48				12	356	mag%		5	8											jewl										0	0	0	760
of Allurement	100	1	1	80		60				11	356	mag%		7	10											jewl										0	0	0	761
of Allurement	100	1	1	95		66				10	356	mag%		9	12											jewl										0	0	0	762
of Thaumaturgy	100	1	1	95		66				2	356	mag%/lvl	2													jewl										0	0	0	763
																																							764
of Zeal	100	1	1	20	60	18				24	357	swing1		4	8											jewl										0	0	0	765
of Zeal	100	1	1	60		48				24	357	swing1		6	10											jewl										0	0	0	766
of Ardour	100	1	1	80		60				24	357	swing2		8	12											jewl										0	0	0	767
of Ardour	100	1	1	95		66				24	357	swing2		10	14											jewl										0	0	0	768
																																							769
of Evenness	100	1	1	20	60	18				24	357	balance1		4	8											jewl										0	0	0	770
of Evenness	100	1	1	60		48				24	357	balance1		6	10											jewl										0	0	0	771
of Counterpoise	100	1	1	80		60				24	357	balance2		8	12											jewl										0	0	0	772
of Counterpoise	100	1	1	95		66				24	357	balance2		10	14											jewl										0	0	0	773
																																							774
of Nimbleness	100	1	1	20	60	18				24	357	cast1		4	8											jewl										0	0	0	775
of Nimbleness	100	1	1	60		48				24	357	cast1		6	10											jewl										0	0	0	776
of Expertise	100	1	1	80		60				24	357	cast2		8	12											jewl										0	0	0	777
of Expertise	100	1	1	95		66				24	357	cast2		10	14											jewl										0	0	0	778
																																							779
of Blasphemy	100	1	1	20	60	18				16	358	res-curse-len		3	7											jewl										0	0	0	780
of Blasphemy	100	1	1	60		48				12	358	res-curse-len		4	8											jewl										0	0	0	781
of Execration	100	1	1	80		60				8	358	res-curse-len		5	9											jewl										0	0	0	782
of Execration	100	1	1	95		66				4	358	res-curse-len		6	10											jewl										0	0	0	783
																																							784
of Frost Nova	100	1	1	20	60	18				10	359	hit-skill	Frost Nova	5	15											jewl										0	0	0	785
of Frost Nova	100	1	1	60		48				8	359	hit-skill	Frost Nova	5	25											jewl										0	0	0	786
of Frost Nova	100	1	1	80		60				6	359	hit-skill	Frost Nova	5	35											jewl										0	0	0	787
of Frost Nova	100	1	1	95		66				4	359	hit-skill	Frost Nova	5	45											jewl										0	0	0	788
																																							789
of Firestorm	100	1	1	20	60	18				10	359	hit-skill	Firestorm	5	15											jewl										0	0	0	790
of Firestorm	100	1	1	60		48				8	359	hit-skill	Firestorm	5	25											jewl										0	0	0	791
of Firestorm	100	1	1	80		60				6	359	hit-skill	Firestorm	5	35											jewl										0	0	0	792
of Firestorm	100	1	1	95		66				4	359	hit-skill	Firestorm	5	45											jewl										0	0	0	793
																																							794
of Charged Bolt	100	1	1	20	60	18				10	359	hit-skill	Charged Bolt	5	15											jewl										0	0	0	795
of Charged Bolt	100	1	1	60		48				8	359	hit-skill	Charged Bolt	5	25											jewl										0	0	0	796
of Charged Bolt	100	1	1	80		60				6	359	hit-skill	Charged Bolt	5	35											jewl										0	0	0	797
of Charged Bolt	100	1	1	95		66				4	359	hit-skill	Charged Bolt	5	45											jewl										0	0	0	798
																																							799
of Bone Spear	100	1	1	20	60	18				10	359	hit-skill	Bone Spear	5	15											jewl										0	0	0	800
of Bone Spear	100	1	1	60		48				8	359	hit-skill	Bone Spear	5	25											jewl										0	0	0	801
of Bone Spear	100	1	1	80		60				6	359	hit-skill	Bone Spear	5	35											jewl										0	0	0	802
of Bone Spear	100	1	1	95		66				4	359	hit-skill	Bone Spear	5	45											jewl										0	0	0	803
																																							804
of the Lion	100	1	1	5	15	3				28	370	str		1	3	rep-quant	33									arrm	boqm									0	0	0	805
of the Lion	100	1	1	15	35	12				28	370	str		3	6	rep-quant	33									arrm	boqm									0	0	0	806
of the Lion	100	1	1	25	60	24				28	370	str		5	9	rep-quant	33									arrm	boqm									0	0	0	807
of the Cougar	100	1	1	45	95	42				26	370	str		7	12	rep-quant	33									arrm	boqm									0	0	0	808
of the Cougar	100	1	1	80		60				22	370	str		9	15	rep-quant	33									arrm	boqm									0	0	0	809
of the Cougar	100	1	1	95		66				18	370	str		11	17	rep-quant	33									arrm	boqm									0	0	0	810
of the Cougar	100	1	1	95		66				16	370	str		13	19	rep-quant	33									arrm										0	0	0	811
of the Smilodon	100	1	1	95		66				2	370	str		5	10	str%		2	4	rep-quant	33					arrm	boqm									0	0	0	812
																																							813
of the Ostrich	100	1	1	5	15	3				28	371	dex		1	3	rep-quant	33									arrm	boqm									0	0	0	814
of the Ostrich	100	1	1	15	35	12				28	371	dex		3	6	rep-quant	33									arrm	boqm									0	0	0	815
of the Ostrich	100	1	1	25	60	24				28	371	dex		5	9	rep-quant	33									arrm	boqm									0	0	0	816
of the Pronghorns	100	1	1	45	95	42				26	371	dex		7	12	rep-quant	33									arrm	boqm									0	0	0	817
of the Pronghorns	100	1	1	80		60				22	371	dex		9	15	rep-quant	33									arrm	boqm									0	0	0	818
of the Pronghorns	100	1	1	95		66				18	371	dex		11	17	rep-quant	33									arrm	boqm									0	0	0	819
of the Pronghorns	100	1	1	95		66				16	371	dex		13	19	rep-quant	33									arrm										0	0	0	820
of th Eagle	100	1	1	95		66				2	371	dex		5	10	dex%		2	4	rep-quant	33					arrm	boqm									0	0	0	821
																																							822
of Cultivation	100	1	1	5	15	3				28	372	enr		1	3	rep-quant	33									arrm	boqm									0	0	0	823
of Cultivation	100	1	1	15	35	12				28	372	enr		3	6	rep-quant	33									arrm	boqm									0	0	0	824
of Cultivation	100	1	1	25	60	24				28	372	enr		5	9	rep-quant	33									arrm	boqm									0	0	0	825
of Insight	100	1	1	45	95	42				26	372	enr		7	12	rep-quant	33									arrm	boqm									0	0	0	826
of Insight	100	1	1	80		60				22	372	enr		9	15	rep-quant	33									arrm	boqm									0	0	0	827
of Insight	100	1	1	95		66				18	372	enr		11	17	rep-quant	33									arrm	boqm									0	0	0	828
of Insight	100	1	1	95		66				18	372	enr		13	19	rep-quant	33									arrm										0	0	0	829
of Vision	100	1	1	95		66				2	372	enr		5	10	enr%		2	4	rep-quant	33					arrm	boqm									0	0	0	830
																																							831
of the Rhinoceros	100	1	1	5	15	3				28	373	vit		1	3	rep-quant	33									arrm	boqm									0	0	0	832
of the Rhinoceros	100	1	1	15	35	12				28	373	vit		3	6	rep-quant	33									arrm	boqm									0	0	0	833
of the Rhinoceros	100	1	1	25	60	24				28	373	vit		5	9	rep-quant	33									arrm	boqm									0	0	0	834
of the Tapir	100	1	1	45	95	42				26	373	vit		7	12	rep-quant	33									arrm	boqm									0	0	0	835
of the Tapir	100	1	1	80		60				22	373	vit		9	15	rep-quant	33									arrm	boqm									0	0	0	836
of the Tapir	100	1	1	95		66				18	373	vit		11	17	rep-quant	33									arrm	boqm									0	0	0	837
of the Tapir	100	1	1	95		66				18	373	vit		13	19	rep-quant	33									arrm										0	0	0	838
of the Moa	100	1	1	95		66				2	373	vit		5	10	vit%		2	4	rep-quant	33					arrm	boqm									0	0	0	839
																																							840
of Haste	100	1	1	5	15	3				28	374	swing1		1	5	rep-quant	33									arrm	boqm									0	0	0	841
of Haste	100	1	1	15	35	12				28	374	swing1		3	7	rep-quant	33									arrm	boqm									0	0	0	842
of Haste	100	1	1	25	60	24				28	374	swing1		5	9	rep-quant	33									arrm	boqm									0	0	0	843
of Fleetness	100	1	1	45	95	42				26	374	swing2		7	11	rep-quant	33									arrm	boqm									0	0	0	844
of Fleetness	100	1	1	80		60				22	374	swing2		9	13	rep-quant	33									arrm	boqm									0	0	0	845
of Fleetness	100	1	1	95		66				18	374	swing2		11	15	rep-quant	33									arrm	boqm									0	0	0	846
																																							847
of Puncture	100	1	1	20	60	18				28	375	pierce		1	11	rep-quant	33									arrm	boqm									0	0	0	848
of Puncture	100	1	1	60		48				26	375	pierce		11	22	rep-quant	33									arrm	boqm									0	0	0	849
of Rupture	100	1	1	80		60				22	375	pierce		22	33	rep-quant	33									arrm	boqm									0	0	0	850
of Rupture	100	1	1	95		66				18	375	pierce		33	44	rep-quant	33									arrm	boqm									0	0	0	851
																																							852
of the Mosquito	100	1	1	20	60	18				28	376	lifesteal		1	2	manasteal		1	2	rep-quant	33					arrm	boqm									0	0	0	853
of the Mosquito	100	1	1	60		48				26	376	lifesteal		2	3	manasteal		2	3	rep-quant	33					arrm	boqm									0	0	0	854
of the Anopheles	100	1	1	80		60				22	376	lifesteal		3	4	manasteal		3	4	rep-quant	33					arrm	boqm									0	0	0	855
of the Anopheles	100	1	1	95		66				18	376	lifesteal		4	5	manasteal		4	5	rep-quant	33					arrm	boqm									0	0	0	856
																																							857
of the Hunter	100	1	1	20	60	18				28	377	heal-kill		4	6	mana-kill		4	6	rep-quant	33					arrm	boqm									0	0	0	858
of the Hunter	100	1	1	60		48				26	377	heal-kill		6	10	mana-kill		6	10	rep-quant	33					arrm	boqm									0	0	0	859
of the Falconer	100	1	1	80		60				22	377	heal-kill		10	16	mana-kill		10	16	rep-quant	33					arrm	boqm									0	0	0	860
of the Falconer	100	1	1	95		66				18	377	heal-kill		16	24	mana-kill		16	24	rep-quant	33					arrm	boqm									0	0	0	861
																																							862
of the Squirrel	100	1	1	5	15	3				28	400	dex		1	2											lcha	mcha									0	0	0	863
of the Squirrel	100	1	1	15	35	12				28	400	dex		2	4											lcha	mcha									0	0	0	864
of the Squirrel	100	1	1	25	60	24				28	400	dex		3	6											lcha	mcha									0	0	0	865
of the Gecko	100	1	1	45		42				26	400	dex		4	8											lcha	mcha									0	0	0	866
of the Gecko	100	1	1	80		60				22	400	dex		5	10											lcha	mcha									0	0	0	867
of the Gazelle	100	1	1	95		66				18	400	dex		6	12											lcha										0	0	0	868
of the Gazelle	100	1	1	95		66				2	400	dex		7	14											lcha										0	0	0	869
																																							870
of the Boar	100	1	1	5	15	3				28	401	str		1	2											lcha	mcha									0	0	0	871
of the Boar	100	1	1	15	35	12				28	401	str		2	4											lcha	mcha									0	0	0	872
of the Boar	100	1	1	25	60	24				28	401	str		3	6											lcha	mcha									0	0	0	873
of the Elephant	100	1	1	45		42				26	401	str		4	8											lcha	mcha									0	0	0	874
of the Elephant	100	1	1	80		60				22	401	str		5	10											lcha	mcha									0	0	0	875
of the Bison	100	1	1	95		66				18	401	str		6	12											lcha										0	0	0	876
of the Bison	100	1	1	95		66				2	401	str		7	14											lcha										0	0	0	877
																																							878
of the Scholar	100	1	1	5	15	3				28	402	enr		1	2											lcha	mcha									0	0	0	879
of the Scholar	100	1	1	15	35	12				28	402	enr		2	4											lcha	mcha									0	0	0	880
of the Scholar	100	1	1	25	60	24				28	402	enr		3	6											lcha	mcha									0	0	0	881
of the Mentor	100	1	1	45		42				26	402	enr		4	8											lcha	mcha									0	0	0	882
of the Mentor	100	1	1	80		60				22	402	enr		5	10											lcha	mcha									0	0	0	883
of Radiance	100	1	1	95		66				18	402	enr		6	12											lcha										0	0	0	884
of Radiance	100	1	1	95		66				2	402	enr		7	14											lcha										0	0	0	885
																																							886
of the Donkey	100	1	1	5	15	3				28	403	vit		1	2											lcha	mcha									0	0	0	887
of the Donkey	100	1	1	15	35	12				28	403	vit		2	4											lcha	mcha									0	0	0	888
of the Donkey	100	1	1	25	60	24				28	403	vit		3	6											lcha	mcha									0	0	0	889
of the Mule	100	1	1	45		42				26	403	vit		4	8											lcha	mcha									0	0	0	890
of the Mule	100	1	1	80		60				22	403	vit		5	10											lcha	mcha									0	0	0	891
of the Centaur	100	1	1	95		66				18	403	vit		6	12											lcha										0	0	0	892
of the Centaur	100	1	1	95		66				2	403	vit		7	14											lcha										0	0	0	893
																																							894
of the Weasel	100	1	1	5	40	3				8	404	dex%		1	2											lcha										0	0	0	895
of the Weasel	100	1	1	40	60	12				8	404	dex%		2	3											lcha										0	0	0	896
of the Weasel	100	1	1	60		24				8	404	dex%		3	4											lcha										0	0	0	897
of the Cat	100	1	1	80		42				7	404	dex%		4	5											lcha										0	0	0	897
of the Cat	100	1	1	95		60				6	404	dex%		5	6											lcha										0	0	0	898
																																							899
of the Grizzly	100	1	1	5	40	3				8	405	str%		1	2											lcha										0	0	0	900
of the Grizzly	100	1	1	40	60	12				8	405	str%		2	3											lcha										0	0	0	901
of the Grizzly	100	1	1	60		24				8	405	str%		3	4											lcha										0	0	0	901
of Hyperion	100	1	1	80		42				7	405	str%		4	5											lcha										0	0	0	902
of Hyperion	100	1	1	95		60				6	405	str%		5	6											lcha										0	0	0	903
																																							904
of Intuition	100	1	1	5	40	3				8	406	enr%		1	2											lcha										0	0	0	905
