skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
shout	3	2	2	3	24	53	skillname138	skillld138	skillld138	skillan138																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ast1																						36	StrSkill3		usmc	256																					40	Sksyn	skillname138	2		76	Defplev	skillname130	par7		76	Defplev	skillname154	par7		76	Secplev2	skillname149	par8/25		76	Secplev2	skillname155	par8/25														0
stun	1	1	3	1	26	23	skillname139	stun3	stun3	skillan139	7	clc1											1				36	StrSkillStunLengthSingular	StrSkill48	"min(250,edln)"	25	74	StrSkill22		toht		75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256																					40	Sksyn	skillname139	2		76	Damplev	skillname144	par8		76	Damplev	overwhelm1	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7														0
double throw	1	2	1	1	28		skillname140	skillld140	skillld140	skillan140	13												2				74	StrSkill22		toht		74	StrSkillDamagePercent		clc1		75	StrSkill4		pnma	pxma																36	StrSkill3		usmc*2	256	74	WeapDamsk		125																	40	Sksyn	skillname140	2		76	Damplev	axeswarm1	par8		76	Damplev	Skillname383	par8		76	Damplev	skillname147	par8		76	Damplev	magicthrow1	par8		76	AttRateplev	skillname144	par6									0
increased stamina	2	2	2	2	60		strenght1	strenght2	strenght3	strenght1																	74	StrSkill154		blvl/2		6	ModStr1a2		pst1																																																																																				0
find item	2	3	1	2	10		luck1	luck2	luck3	luck1																	74	ModStr1w		"min(255,ln12)/2"		74	ModStr1x		"min(255,ln12)"																																																																																				0
leap attack	3	3	3	3	34		skillname143	skillld143	skillld143	skillan143	7	clc1											2				74	leapspeed		clc2-100		74	StrSkill22		toht		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																36	StrSkill3		usmc	256	74	StrSkill18		15																	40	Sksyn	skillname143	2		76	leapspeedsynergy	skillname132	par8		76	phystomagic	skillname152	par8																								0
concentrate	1	2	3	1	36	63	skillname144	concentrate2	concentrate3	skillan144	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkill21		ln34		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		74	buffphysicalresist		ast2							36	StrSkillDurationSingular	StrSkill20	len	25	74	magicresist		ast3																	40	Sksyn	skillname144	2		76	Damplev	skillname139	par8		76	Damplev	overwhelm1	par8		76	holyArmorSanctuarySy	skillname152	1		76	Secplev2	skillname145	1														0
iron skin	2	4	2	2	38	27	skillname145	skillld145	skillld145	skillan145																	36	StrSkill3		usmc	256	74	StrSkill21		pst1		74	ModStr2u		pst3																											74	ModStr2uPercent		pst2												40	Sksyn	skillname145	2		76	Defplev	axeswarm1	par8		76	Defplev	skillname140	par8		76	Defplev	skillname147	par8																			0
battle cry	3	4	1	3	40	24	skillname146	skillld146	skillld146	skillan146																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill38		ast2/2		74	StrSkill25		ast1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname146	2		76	Defplev	skillname137	-par4		76	Defplev	skillname154	-par4		76	Damplev	skillname137	-par6		76	Damplev	skillname154	-par6		76	Secplev2	skillname149	par8/25		76	Secplev2	skillname155	par8/25				0
frenzy	1	4	1	1	42	26	skillname147	skillld147	skillld147	skillan147	19	clc1											2				75	StrSkillRunWalkRange		15*(par4-par3)/100+par3	dm34	75	StrSkillAttackSpeedRange		15*(par6-par5)/100+par5	dm56	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	frenzyCrit		15*(par6-par5)/100+par5	dm56	75	frenzyDamage		(15*(par6-par5)/100+par5)*8	dm56*8	36	StrSkill3		usmc*2	256	36	StrSkillDurationSingular	StrSkill20	par7	25	74	WeapDamsk		150												40	Sksyn	skillname147	2		76	Damplev	axeswarm1	par8		76	Damplev	overwhelm1	par8		76	Damplev	skillname151	par8		76	AttRateplev	axeswarm1	10		76	AttRateplev	overwhelm1	10		76	AttRateplev	skillname151	10				0
increased speed	2	3	2	2	30		vigor1	vigor2	vigor3	vigor1																	74	ModStr2l		pst3		74	StrSkill89		pst1		6	ModStr1c2	StrSkill23	pst2																																																																															0
battle orders	3	4	2	3	46	54	skillname149	skillld149	skillld149	skillan149																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill102		ln34		74	StrSkill101		ast1		74	StrSkill100		ast2																																40	Sksyn	skillname149	2		76	Hpplev	skillname130	par7		76	Hpplev	skillname137	par7		76	manaperlevel	skillname130	par7		76	manaperlevel	skillname137	par7		76	Secplev2	skillname146	par8/25		76	Secplev2	skillname155	par8/25				0
grim ward	1	1	2	1	64		magicthrow1	magicthrow2	magicthrow3	magicthrow1	5												1				36	StrSkill3		usmc	256	75	magicdamagemin		enma		74	StrSkill22		toht																	74	WeapDamsk		75		74	magicThrowChain		clc1																	40	Sksyn	magicthrow1	2		76	Magdplev	skillname140	par8		76	Magdplev	Skillname383	par8		76	Magdplev	skillname152	par8		76	Magdplev	Skillname384	par8														0
whirlwind	1	6	1	1	50		skillname151	whirlwind2	whirlwind3	skillan151	5												1				36	StrSkill3		usmc	256	74	whirlwindbaseaxes		clc1		75	StrSkill4		pnma	pxma																74	WeapDamsk		45		18	whirlwindaxeincrease				18	onehandedweaponrequirement														40	Sksyn	skillname151	2		76	Damplev	overwhelm1	par8		76	Damplev	skillname147	par8		76	Damplev	axeswarm1	par8																			0
berserk	1	5	3	1	52		skillname152	berserk3	berserk3	skillan152	5												2				36	StrSkillDurationSingular	StrSkill20	"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"	25	75	magicdamagemin		pnma		74	StrSkill22		toht																	36	StrSkill3		usmc	256	74	StrSkill21		ast1		74	allmaxres		ast2		18	StrSkill206				74	WeapDamsk		125		40	Sksyn	skillname152	2		76	Magdplev	skillname139	par8		76	Magdplev	skillname144	par8		76	Magdplev	overwhelm1	par8		76	AttRateplev	skillname144	par7		76	Defplev	skillname138	par6		76	Defplev	skillname145	par6				0
natural resistance	2	6	2	2	54		skillname153	skillld153	skillld153	skillan153																	74	StrSkill54		dm12		74	StrSkill198		pst5																																																																																				0
war cry	3	5	1	3	56	56	skillname154	skillld154	skillld154	skillan154	5																36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	"min(250,ln12)"	25	75	StrSkill4		pnma	pxma	75	StrSkill39		enma	exma																																				40	Sksyn	skillname154	2		76	Damplev	skillname130	par8		76	Damplev	skillname137	par8		76	Damplev	skillname146	par8																			0
battle command	3	5	2	3	58	55	skillname155	skillld155	skillld155	skillan155																	36	StrSkillDurationSingular	StrSkill20	len	25	4	StrSkill121		ast1																						36	StrSkill3		usmc	256																					40	Sksyn	skillname155	2		76	Secplev2	skillname146	par8/25		76	Secplev2	skillname149	par8/25																								0
scroll of identify	0	0	0	4	14		skillname217	skillld217	skillld217	skillan217																	56	scrollbooktext																																																																																											0
book of identify	0	0	0	4	14		skillname218	skillld218	skillld218	skillan218																	56	scrollbooktext																																																																																											0
scroll of townportal	0	0	0	4	18		skillname219	skillld219	skillld219	skillan219																	56	scrollbooktext																																																																																											0
book of townportal	0	0	0	4	18		skillname220	skillld220	skillld220	skillan220																	56	scrollbooktext																																																																																											0
raven	1	1	3	1	0		Skillname222	Skillld222	Skillld222	Skillan222																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill7		edmn*(100+pst2)/100	edmx*(100+pst2)/100	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ravennumber		pets		74	StrSkill154		pst5		74	StrSkill54		ast1																																																						0
plague poppy	1	1	3	1	2		Skillname223	Skillld223	Skillld223	Skillan223																	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	75	StrSkill4		pnma*(100+ln12)/100-1	pxma*(100+ln12)/100-2	13	StrSkill42		(lvl-1)*par3		74	StrSkill54		ast1		74	StrSkillDefense		clc3		5	ESkillVines		pets		18	StrSkill207																			40	Sksyn	Skillname223	2		63	Skillname239	Alldplev	par8		63	volcaniccreeper1	Alldplev	par8		63	arcticcreeper1	Alldplev	par8		76	Hpplev	Skillname389	par2														0
wearwolf	2	1	1	2	20		Skillname224	Skillld224	Skillld224	Skillan224																	36	StrSkillDurationSingular	StrSkill20	len	25	4	StrSkill277		ast4		74	StrSkill106		ast3		74	StrSkill22		toht		13	StrSkill42		ast5							36	StrSkill3		usmc	256	74	StrSkill21		ast2		74	StrSkillDamagePercent		skill('Wearbear'.blvl)*par7												40	Sksyn	Skillname224	2		76	Damplev	Skillname229	par7		76	Defplev	Skillname229	par8																								0
shape shifting	2	2	2	2	52		Skillname225	Skillld225	shapeshifting3	Skillan225																	36	StrSkillDurationPlus		ln12	25	74	holyarmordefense		par7*lvl		74	StrSkillDamagePercent		par7*lvl		74	lycantrophymorphlife		par3*lvl		74	StrSkill88		lvl*5		74	lycantrophymorphfcr		lvl																																																																0
firestorm	3	4	2	3	32	16	Skillname226	Skillld226	Skillld226	Skillan226	9																36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256	5	ESkillMiss		clc1																																										40	Sksyn	Skillname226	2		76	Firedplev	Skillname245	par8		76	Firedplev	flameburst1	par8		76	Firedplev	elementalform1	par8		76	Firedplev	Skillname236	par8														0
oak sage	1	2	1	1	16		Skillname227	Skillld227	Skillld227	Skillan227																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	13	StrSkill42	StrSkill23	ln56		74	StrSkillDefense		clc3		13	StrSkill42		clc1							18	StrSkill233				74	StrSkill54		ast1		5	ESkillSpirits		pets												40	Sksyn	Skillname227	2		71	Skillname389	Spiritplev	5		76	Hpplev	Skillname237	par1		76	Hpplev	Skillname247	par1																			0
summon spirit wolf	1	1	1	1	6		Skillname228	summonspiritwolf2	summonspiritwolf3	Skillan228																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill5		edmn	edmx	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ESkillWolves		pets		74	StrSkill154		pst5		74	StrSkill54		ast1																																																						0
wearbear	2	1	3	2	22		Skillname229	Skillld229	Skillld229	Skillan229																	36	StrSkillDurationSingular	StrSkill20	len	25	4	StrSkill275		ast4		74	StrSkillDefense		ast2		74	StrSkillDamagePercent		ln12		13	StrSkill42		ast5							36	StrSkill3		usmc	256	74	StrSkill106		ast3		74	StrSkill106b		ast6												40	Sksyn	Skillname229	2		63	Skillname224	AttSpeedplev	par7		63	Skillname224	FRWplev	par7																								0
molten boulder	3	2	2	3	34		Skillname230	Skillsd230	Skillld230	Skillan230	5													moltenboulderfirepath			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		enma	exma																																				40	Sksyn	Skillname230	2		63	Skillname245	Alldplev	par8		63	Skillname226	Alldplev	par8		63	Skillname240	Alldplev	par8		63	volcaniccreeper1	Alldplev	par8														0
arctic blast	3	1	2	3	36		Skillname231	Skillld231	Skillld231	Skillan231	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	clc1/2*2	3	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageAveragePerSecond		enms*12/128	enms*12/64	18	StrSkill213									74	StrSkill115		par3																						40	Sksyn	Skillname231	2		63	Skillname236	Alldplev	par8		63	Skillname251	Alldplev	par8		63	Skillname246	Alldplev	par8		63	Skillname387	Alldplev	par8		63	arcticcreeper1	Alldplev	par8									0
cycle of life	1	3	3	1	8		volcaniccreeper1	volcaniccreeper2	volcaniccreeper3	volcaniccreeper1	5													verruption center			36	StrSkill3		usmc	256	74	StrSkill54		ast1		74	StrSkillDefense		clc3		13	StrSkill42		clc1		36	StrSkillDurationSingular	StrSkill20		25	75	StrSkill5		enma	exma	5	ESkillVines		pets		18	StrSkill207																			40	Sksyn	volcaniccreeper1	2		76	Firedplev	Skillname245	par8		76	Firedplev	flameburst1	par8		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname223	par8		76	Firedplev	arcticcreeper1	par8		76	Hpplev	Skillname389	par2				0
feral rage	2	3	1	2	54		Skillname233	Skillld233	Skillld233	Skillan233	7	clc1											2				75	StrSkillLifeStealRange		5	par5*clc2	75	StrSkillRunWalkRange		19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3	74	StrSkill22		toht		74	maulmaxstacks		clc2												36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkill3		usmc	256	74	WeapDamsk		150												40	Sksyn	Skillname233	2		67	Skillname225	Secplev1	1		76	maulchargesynergy	Skillname243	1		76	maulchargesynergy	Skillname249	1																			0
maul	2	3	3	2	56		Skillname234	Skillld234	Skillld234	Skillan234	1												2				36	StrSkillStunLengthSingular	StrSkill48	dm56	25	75	frenzyDamage		par3	par3*clc2	74	StrSkill22		toht		74	maulmaxstacks		clc2												36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkill3		usmc	256	74	WeapDamsk		150												40	Sksyn	Skillname234	2		67	Skillname225	Secplev1	1		76	maulchargesynergy	Skillname243	1		76	maulchargesynergy	Skillname244	1																			0
eruption	3	5	1	3	38		earthspikes1	earthspikes2	earthspikes3	earthspikes1	5													erruption center			36	StrSkill3		usmc	256	74	Cgslow		ast1		75	StrSkill39		enma	exma																36	StrSkillDurationSingular	StrSkill20	miss('eruption center'.rang)*2	25																					40	Sksyn	earthspikes1	2		76	Magdplev	Skillname391	par8		76	Magdplev	acidrain1	par8		76	Magdplev	Skillname241	par8		76	Magdplev	Skillname231	par8		76	Magdplev	Skillname246	par8		76	Magdplev	Skillname387	par8				0
cyclone armor	3	1	1	3	40		Skillname236	Skillld236	Skillld236	Skillan236																	36	StrSkill3		usmc	256	5	StrSkill153		edmn		74	StrSkill40		ast1/256																																										40	Sksyn	Skillname236	2		76	Damabsplev	Skillname251	par8		76	Damabsplev	cataclysm1	par8		76	Damabsplev	Skillname245	par8																			0
heart of wolverine	1	4	1	1	10		Skillname237	Skillld237	Skillld237	Skillan237																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	2	StrSkill10	StrSkill23	ln56		74	StrSkillDamagePercent		ln56		74	StrSkillDefense		clc3		13	StrSkill42		clc1		18	StrSkill233				74	StrSkill54		ast1		5	ESkillSpirits		pets												40	Sksyn	Skillname237	2		71	Skillname389	Spiritplev	5		76	Hpplev	Skillname227	par1		76	Hpplev	Skillname247	par1																			0
summon fenris	1	1	2	1	12		Skillname238	summondirewolf2	summondirewolf3	Skillan238																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill4		pnma*(100+pst2)/100	pxma*(100+pst2)/100	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	ESkillWolves		pets		74	StrSkill154		pst5		74	StrSkill54		ast1																																																						0
rabies	2	5	1	2	24		Skillname239	Skillld239	Skillld239	Skillan239	23												2				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname239	2		76	Poisdplev	Skillname233	par8		76	Poisdplev	freezingclaws1	par8		76	Poisdplev	Skillname240	par8		76	Poisdplev	Skillname249	par8		76	Poisdplev	Skillname390	par8									0
fire claws	2	4	2	2	26		Skillname240	fireclaws23	fireclaws23	Skillan240	5												1				36	StrSkill3		usmc	256	74	phystofiredesc		min(85,49+lvl)		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill5		enma	exma	74	StrSkill22		toht		74	fireclawsfiretrails		clc1		74	WeapDamsk		50																						40	Sksyn	Skillname240	2		76	fireclawstrailsynergy	freezingclaws1	1		76	fireclawstrailsynergy	Skillname390	1		76	Firedplev	freezingclaws1	par8		76	Firedplev	Skillname390	par8		76	Firedplev	Skillname244	par8		76	Firedplev	Skillname239	par8				0
twister	3	1	3	3	42		Skillname241	Skillsd371	twister3	Skillan241	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma	5	ESkillMiss		clc1																	36	StrSkillStunLengthSingular	StrSkill48	par2	25																					40	Sksyn	Skillname241	2		76	Damplev	Skillname236	par8		76	Damplev	elementalform1	par8		76	Damplev	Skillname387	par8		76	Damplev	cataclysm1	par8														0
vines	1	5	3	1	14		arcticcreeper1	arcticcreeper2	arcticcreeper3	arcticcreeper1	5																36	StrSkill3		usmc	256	74	StrSkill54		ast1		74	StrSkillDefense		clc3		13	StrSkill42		clc1		36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	5	ESkillVines		pets		18	StrSkill207																			40	Sksyn	arcticcreeper1	2		76	Colddplev	Skillname251	par8		76	Colddplev	Skillname223	par8		76	Colddplev	Skillname232	par8		76	Hpplev	Skillname389	par2														0
hunger	2	5	2	2	58		Skillname243	Skillld243	Skillld243	Skillan243	14												1				74	EskillManaSteal		dm34		74	EskillLifeSteal		dm12		74	StrSkill22		toht																	36	StrSkill3		usmc	256	74	StrSkillDamagePercent		par5																																																						0
shock wave	2	5	3	2	28	43	Skillname244	shockwave23	shockwave23	Skillan244	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma	74	StrSkill22		toht																	74	shockwavereverberate		30																						40	Sksyn	Skillname244	2		76	Damplev	Skillname243	par8		76	Damplev	Skillname234	par8																								0
volcano	3	6	2	3	44	41	Skillname245	Skillld245	Skillld245	Skillan245	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	Skillname245	2		76	Firedplev	Skillname236	par8		76	Firedplev	elementalform1	par8		76	Firedplev	flameburst1	par8		76	Firedplev	Skillname226	par8														0
tornado	3	6	1	3	46	61	Skillname246	Skillsd246	Skillld246	Skillan246	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma	74	ModStr3m																			5	ESkillMiss		clc1		18	StrSkill164																			40	Sksyn	Skillname246	2		76	Damplev	Skillname236	par8		76	Damplev	Skillname231	par8		76	Damplev	Skillname251	par8		76	Damplev	Skillname387	par8														0
spirit of barbs	1	6	1	1	4		Skillname247	Skillld247	Skillld247	Skillan247																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	ModStr1v		pnma*3		13	StrSkill42		(lvl-1)*par1		74	ModStr3m		lvl																																40	Sksyn	Skillname247	2		71	Skillname389	Spiritplev	5		76	Hpplev	Skillname227	par1		76	Hpplev	Skillname237	par1																			0
summon grizzly	1	6	2	1	18		Skillname248	Skillld248	summongrizzly3	Skillan248																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		75	StrSkill6		edmn	edmx	75	StrSkill4		pnma*(100+pst2)/100	pxma*(100+pst2)/100	74	StrSkillDefense		clc3		13	StrSkill42		clc1		74	StrSkill154		pst4		74	StrSkill54		ast1																																																						0
fury	2	6	1	2	30		Skillname249	fury23	fury23	Skillan249	5												2				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		clc1																	74	furyenemieshit		5		74	WeapDamsk		75		74	additionalhitsperleveldesc		15												40	Sksyn	Skillname249	2		76	extrahitsynergy	Skillname233	20		76	extrahitsynergy	Skillname243	20																								0
acidrain	3	5	3	3	50		acidrain1	acidrain2	acidrain3	acidrain1	5													armageddonfire			36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	75	StrSkill39		enma	exma	75	StrSkillPoisonDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256											36	StrSkillRadiusSingular	StrSkill18	par3*2	3																					40	Sksyn	acidrain1	2		63	Skillname391	Alldplev	par8		63	earthspikes1	Alldplev	par8		63	Skillname241	Alldplev	par8		63	Skillname231	Alldplev	par8		63	Skillname246	Alldplev	par8		63	Skillname387	Alldplev	par8				0
hurricane	3	4	1	3	48	47	Skillname251	Skillld251	Skillld251	Skillan251	5																36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma											36	StrSkillRadiusSingular	StrSkill18	rng*2	3	18	StrSkill245																			40	Sksyn	Skillname251	2		76	Colddplev	elementalform1	par8		76	Colddplev	Skillname236	par8		76	Colddplev	frozenblast1	par8		76	Colddplev	whirlpool1	par8		76	Colddplev	monsoon1	par8		67	Skillname236	Secplev1	4				0
fire trauma	1	1	2	1	0		coldblast1	coldblast2	coldblast3	coldblast1	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	36	StrSkillRadiusSingular	StrSkill18	par1+lvl/4																	18	StrSkill292																			40	Sksyn	coldblast1	2		76	Colddplev	Skillname395	par8		76	Colddplev	Skillname396	par8		76	Colddplev	Skillname257	par7		76	Colddplev	alltraps	par7														0
claw mastery	2	1	1	2	20		meleemastery1	meleemastery2	meleemastery3	meleemastery1																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																															0
psychic hammer	2	4	2	2	22		Skillname254	psychichammer2	psychichammer3	Skillan254	5																36	StrSkill3		usmc	256	74	StrSkill11		clc1		36	vulnerabilityduration	vulnerabilityduration	clc2	25	75	StrSkill39		enma	exma											74	penaltyphysicalresist		50		74	phystomagicdesc		100		74	WeapDamsk		125												40	Sksyn	Skillname254	2		76	Magdplev	Skillname265	par8		76	Magdplev	Skillname274	par8																								0
tiger strike	3	1	1	3	40		Skillname255	Skillld255	Skillld255	Skillan255	5												2				74	StrSkill22		toht		74	StrSkillAssassinTigerStrikeCharge3		3*clc1		74	StrSkillAssassinTigerStrikeCharge2		2*clc1		74	StrSkillAssassinTigerStrikeCharge1		clc1												36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																40	Sksyn	Skillname255	2		76	Damplev	dragonfury1	par8		76	Damplev	Skillname256	par8		76	Damplev	Skillname271	par8		76	Damplev	execute1	par8		76	Damplev	Skillname394	par8									0
dragon talon	3	4	2	3	42		Skillname256	Skillld256	dragontalon3	Skillan256	15																36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	dragontalonelementalbonus		ast3		74	dragontalonphysicalbonus		ast4												36	buffduration	buffduration	clc2	25																					40	Sksyn	Skillname256	2		74	dragontalonspecialsynergy		par8		76	buffphysicaldamagesynergy	Skillname271	par8		76	buffphysicaldamagesynergy	Skillname394	par8		76	dragontalonelementalsynergy	Skillname271	1		76	dragontalonelementalsynergy	Skillname394	1									0
shock field	1	1	3	1	2		Skillname257	Skillld257	Skillld257	Skillan257	5													shock field on ground			36	StrSkillDurationSingular	StrSkill20	miss('shock field on ground'.rang)	25	75	StrSkillLightningDamageAveragePerSecond		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname257	2		76	Ltngdplev	alltraps	par8		76	shockWebYards	Skillname277	1		76	Ltngdplev	coldblast1	par7		76	Ltngdplev	Skillname395	par7		76	Ltngdplev	Skillname396	par7									0
blade sentinel	1	2	1	1	4		Skillname258	Skillld258	Skillld258	Skillan258	5												1				36	StrSkillDurationSingular	StrSkill20	clc4	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256	5	ESkillMiss		pets		74	WeapDamsk		25												40	Sksyn	Skillname258	2		76	bladesentinelspikes	bladenova1	4		15	bladenova1	StrSkill246			76	Damplev	bladenova1	par8		76	Damplev	pstream1	par8		76	Damplev	dblade1	par8		76	Damplev	Skillname393	par8				0
quickness	2	2	1	2	36		Skillname259	Skillld259	Skillld259	Skillan259																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill89		dm12		74	StrSkill106		dm34																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname259	2		76	Secplev2	Skillname268	par6/25		76	Secplev2	Skillname279	par6/25		76	Secplev2	Skillname392	par6/25																			0
fists of fire	3	2	3	3	44		Skillname260	fistsoffire23	fistsoffire23	Skillan260	19												2				74	fireconvert		min(85,49+lvl)		74	StrSkill22		toht		74	firebolthits		5+lvl/2																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	fistsoffirecharge3		50		74	fistsoffirecharge2		75		74	fistsoffirecharge1		100		40	Sksyn	Skillname260	2		76	AttRateplev	Skillname275	par8		76	AttRateplev	Skillname275	par8		76	AttRateplev	Skillname281	par8																			0
dragon claw	3	4	1	3	46		Skillname261	Skillld261	Skillld261	Skillan261	19	clc1											2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname261	2		76	Damplev	Skillname256	par8		76	Damplev	Skillname271	par8		76	Damplev	Skillname276	par8		76	Damplev	Skillname264	par8		76	Damplev	Skillname255	par8		76	Damplev	Skillname281	par8				0
charged bolt sentry	1	2	3	1	8		lavasentry1	lavasentry2	lavasentry3	lavasentry1	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma				"min(ln12,30)"																	74	ESkillShoots		clc4		5	StrSkill216		pets																	40	Sksyn	lavasentry1	2		76	Firedplev	Skillname257	par8		76	Firedplev	alltraps	par8																								0
wake of fire sentry	2	2	3	2	72		cmastery1	cmastery2	cmastery2	cmastery1	5																74	StrSkill289		pst1		74	commandmasterywarriors		lvl/15		74	commandmasterymasters		lvl/20																	4	StrSkill290		pst2		18	StrSkill288																																																								0
weapon block	2	1	3	2	26		Skillname264	Skillld264	Skillld264	Skillan264																	74	StrSkill24		pst1																											18	sinextrablock																																																													0
cloak of shadows	2	1	2	2	24		Skillname265	Skillld265	Skillld265	Skillan265																	74	StrSkill21		ast1																											36	StrSkill3		usmc	256	74	enemymagicresist		ast2		36	StrSkill18		rng		36	StrSkillDurationSingular	StrSkill20	len	25						40	Sksyn	Skillname265	2		76	enemymagicresistsynergy	Skillname254	-1		76	enemymagicresistsynergy	Skillname274	-1																								0
