Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Aurora	100	1	1	70		60				3	59	aura	Holy Freeze	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Holy Shock	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Aura of Divinity	1	5											tors										0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Redemption	5	10											tors										0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Might	5	10											weap										0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Fanaticism	5	10											weap										0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Concentration	5	10											weap										0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Blessed Aim	3	5											weap										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Defiance	10	20											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Cleansing	10	20											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Prayer	10	20											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Resist Fire	6	11											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Resist Cold	6	11											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Resist Lightning	6	11											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Vigor	10	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Meditation	10	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Salvation	3	5											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Sanctuary	8	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Holy Fire	8	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Holy Freeze	8	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Holy Shock	8	15											helm	tors									0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Aura of Divinity	5	10											tors										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Redemption	10	20											tors										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Might	10	20											weap										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Fanaticism	10	20											weap										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Concentration	10	20											weap										0	0	0
of Aurora	100	1	1	85		75				1	59	aura	Blessed Aim	5	10											weap										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Vigor	10	15											boot										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Blessed Aim	5	10											glov										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Aura of Divinity	15	20											tors										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Concentration	10	15											helm										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Fanaticism	25	30											weap										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Defiance	10	15											belt										0	0	0
of Aurora	100	1	1	95		83				1	59	aura	Cleansing	10	15											ring										0	0	0
of Puncturing	100	1	1	40		25				4	5	reduce-ac		3	4									1	dgry	mcha										0	0	0
of Puncturing	100	1	1	65		40				2	5	reduce-ac		5	6									1	dgry	mcha										0	0	0
of Puncturing	100	1	1	40		25				4	5	reduce-ac		1	2									1	dgry	scha										0	0	0
of Puncturing	100	1	1	65		40				2	5	reduce-ac		3	3									1	dgry	scha										0	0	0
of Thorns	100	1	1	14	21	10				4	6	thorns		25	50									1	oran	lcha										0	0	0
of Thorns	100	1	1	21	34	15				4	6	thorns		51	150									1	oran	lcha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		151	200									1	oran	lcha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		201	300									1	oran	lcha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		301	500									1	oran	lcha										0	0	0
of Thorns	100	1	1	14	21	10				4	6	thorns		16	33									1	oran	mcha										0	0	0
of Thorns	100	1	1	21	34	15				4	6	thorns		34	100									1	oran	mcha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		100	133									1	oran	mcha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		134	200									1	oran	mcha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		201	340									1	oran	mcha										0	0	0
of Thorns	100	1	1	14	21	10				4	6	thorns		10	20									1	oran	scha										0	0	0
of Thorns	100	1	1	21	34	15				4	6	thorns		21	60									1	oran	scha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		61	70									1	oran	scha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		71	120									1	oran	scha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		121	180									1	oran	scha										0	0	0
of Frost	100	1	1	15	25	6				2	10	cold-len		25	35	cold-min		10	20	cold-max		21	40	1	dblu	lcha										0	0	0
of the Icicle	100	1	1	25	50	21				2	10	cold-len		35	50	cold-min		20	30	cold-max		41	60	1	dblu	lcha										0	0	0
of the Glacier	100	1	1	50		42				1	10	cold-len		50	70	cold-min		31	50	cold-max		61	100	1	dblu	lcha										0	0	0
of Winter	100	1	1	85		78				1	10	cold-len		70	100	cold-min		51	100	cold-max		101	200	1	dblu	lcha										0	0	0
of Winter	100	1		85		78				1	10	cold-len		70	100	cold-min		101	200	cold-max		201	400	1	dblu	lcha										0	0	0
of Frost	100	1	1	18	39	13				2	10	cold-len		15	25	cold-min		6	13	cold-max		14	26	1	dblu	mcha										0	0	0
of the Icicle	100	1	1	39	64	31				2	10	cold-len		25	35	cold-min		13	20	cold-max		27	40	1	dblu	mcha										0	0	0
of the Glacier	100	1	1	64		56				1	10	cold-len		35	50	cold-min		21	34	cold-max		41	70	1	dblu	mcha										0	0	0
of Winter	100	1	1	89		81				1	10	cold-len		50	70	cold-min		35	70	cold-max		71	140	1	dblu	mcha										0	0	0
of Winter	100	1		89		81				1	10	cold-len		50	70	cold-min		71	140	cold-max		141	270	1	dblu	mcha										0	0	0
of Frost	100	1	1	27	42	20				2	10	cold-len		15	25	cold-min		4	8	cold-max		9	15	1	dblu	scha										0	0	0
of the Icicle	100	1	1	42	66	34				2	10	cold-len		25	35	cold-min		9	12	cold-max		16	22	1	dblu	scha										0	0	0
of the Glacier	100	1	1	66		58				1	10	cold-len		35	50	cold-min		13	20	cold-max		23	36	1	dblu	scha										0	0	0
of Winter	100	1	1	91		83				1	10	cold-len		50	70	cold-min		21	36	cold-max		37	70	1	dblu	scha										0	0	0
of Winter	100	1		91		83				1	10	cold-len		50	70	cold-min		37	70	cold-max		71	140	1	dblu	scha										0	0	0
of Flame	100	1	1	15	25	6				2	11	fire-min		15	25	fire-max		26	45					1	lred	lcha										0	0	0
of Fire	100	1	1	25	50	21				2	11	fire-min		25	35	fire-max		46	65					1	lred	lcha										0	0	0
of Burning	100	1	1	50		42				1	11	fire-min		36	55	fire-max		66	105					1	lred	lcha										0	0	0
of Incineration	100	1	1	85		78				1	11	fire-min		61	110	fire-max		111	210					1	lred	lcha										0	0	0
of Incineration	100	1		85		78				1	11	fire-min		116	215	fire-max		216	415					1	lred	lcha										0	0	0
of Flame	100	1	1	18	39	13				2	11	fire-min		11	18	fire-max		19	31					1	lred	mcha										0	0	0
of Fire	100	1	1	39	64	31				2	11	fire-min		18	25	fire-max		32	45					1	lred	mcha										0	0	0
of Burning	100	1	1	64		56				1	11	fire-min		26	39	fire-max		51	80					1	lred	mcha										0	0	0
of Incineration	100	1	1	89		81				1	11	fire-min		45	80	fire-max		86	155					1	lred	mcha										0	0	0
of Incineration	100	1		89		81				1	11	fire-min		86	155	fire-max		146	275					1	lred	mcha										0	0	0
of Flame	100	1	1	27	42	20				2	11	fire-min		9	13	fire-max		14	20					1	lred	scha										0	0	0
of Fire	100	1	1	42	66	34				2	11	fire-min		14	17	fire-max		21	27					1	lred	scha										0	0	0
of Burning	100	1	1	66		58				1	11	fire-min		18	25	fire-max		28	41					1	lred	scha										0	0	0
of Incineration	100	1	1	91		83				1	11	fire-min		31	46	fire-max		47	80					1	lred	scha										0	0	0
of Incineration	100	1		91		83				1	11	fire-min		52	85	fire-max		86	155					1	lred	scha										0	0	0
of Shock	100	1	1	15	25	6				2	12	ltng-min		1	1	ltng-max		41	70					1	whit	lcha										0	0	0
of Lightning	100	1	1	25	50	21				2	12	ltng-min		1	1	ltng-max		71	100					1	whit	lcha										0	0	0
of Thunder	100	1	1	50		42				1	12	ltng-min		1	1	ltng-max		101	160					1	whit	lcha										0	0	0
of Storms	100	1	1	85		78				1	12	ltng-min		1	1	ltng-max		161	330					1	whit	lcha										0	0	0
of Storms	100	1		85		78				1	12	ltng-min		1	1	ltng-max		331	630					1	whit	lcha										0	0	0
of Shock	100	1	1	18	49	13				2	12	ltng-min		1	1	ltng-max		30	50					1	whit	mcha										0	0	0
of Lightning	100	1	1	39	64	31				2	12	ltng-min		1	1	ltng-max		51	70					1	whit	mcha										0	0	0
of Thunder	100	1	1	64		56				1	12	ltng-min		1	1	ltng-max		71	130					1	whit	mcha										0	0	0
of Storms	100	1	1	89		81				1	12	ltng-min		1	1	ltng-max		131	235					1	whit	mcha										0	0	0
of Storms	100	1		89		81				1	12	ltng-min		1	1	ltng-max		236	420					1	whit	mcha										0	0	0
of Shock	100	1	1	27	42	20				2	12	ltng-min		1	1	ltng-max		20	35					1	whit	scha										0	0	0
of Lightning	100	1	1	42	66	34				2	12	ltng-min		1	1	ltng-max		36	45					1	whit	scha										0	0	0
of Thunder	100	1	1	66		58				1	12	ltng-min		1	1	ltng-max		46	70					1	whit	scha										0	0	0
of Storms	100	1	1	91		83				1	12	ltng-min		1	1	ltng-max		71	130					1	whit	scha										0	0	0
of Storms	100	1		91		83				1	12	ltng-min		1	1	ltng-max		131	250					1	whit	scha										0	0	0
of Blight	100	1	1	15	25	6				2	13	dmg-pois	100	409	1280									1	dgrn	lcha										0	0	0
of Venom	100	1	1	25	50	21				2	13	dmg-pois	100	1228	2560									1	dgrn	lcha										0	0	0
of Pestilence	100	1	1	50		42				1	13	dmg-pois	75	2457	4266									1	dgrn	lcha										0	0	0
of Anthrax	100	1	1	85		78				1	13	dmg-pois	50	4096	5333									1	dgrn	lcha										0	0	0
of Anthrax	100	1		85		78				1	13	dmg-pois	50	5120	6400									1	dgrn	lcha										0	0	0
of Blight	100	1	1	18	39	13				2	13	dmg-pois	100	303	883									1	dgrn	mcha										0	0	0
of Venom	100	1	1	39	64	31				2	13	dmg-pois	100	849	1737									1	dgrn	mcha										0	0	0
of Pestilence	100	1	1	64		56				1	13	dmg-pois	75	1668	2874									1	dgrn	mcha										0	0	0
of Anthrax	100	1	1	89		81				1	13	dmg-pois	50	2761	3585									1	dgrn	mcha										0	0	0
of Anthrax	100	1		89		81				1	13	dmg-pois	50	3443	4297									1	dgrn	mcha										0	0	0
of Blight	100	1	1	27	42	20				2	13	dmg-pois	100	166	456									1	dgrn	scha										0	0	0
of Venom	100	1	1	42	66	34				2	13	dmg-pois	100	439	883									1	dgrn	scha										0	0	0
of Pestilence	100	1	1	66		58				1	13	dmg-pois	75	849	1452									1	dgrn	scha										0	0	0
of Anthrax	100	1	1	91		83				1	13	dmg-pois	50	1395	1807									1	dgrn	scha										0	0	0
of Anthrax	100	1		91		83				1	13	dmg-pois	50	1736	2163									1	dgrn	scha										0	0	0
of Craftsmanship	100	1	1	3	25	2				2	15	dmg-max		1	3									1	blac	lcha										0	0	0
of Quality	100	1	1	25		18				2	15	dmg-max		4	6									1	blac	lcha										0	0	0
of Maiming	100	1	1	47		39				1	15	dmg-max		7	10									1	blac	lcha										0	0	0
of Maiming	100	1		47		39				1	15	dmg-max		11	20									1	blac	lcha										0	0	0
of Craftsmanship	100	1	1	10	30	7				2	15	dmg-max		1	2									1	blac	mcha										0	0	0
of Quality	100	1	1	30		22				2	15	dmg-max		3	4									1	blac	mcha										0	0	0
of Maiming	100	1	1	50		42				1	15	dmg-max		5	6									1	blac	mcha										0	0	0
of Maiming	100	1		50		42				1	15	dmg-max		8	14									1	blac	mcha										0	0	0
of Craftsmanship	100	1	1	23	38	17				2	15	dmg-max		1	1									1	blac	scha										0	0	0
of Quality	100	1	1	38		30				2	15	dmg-max		2	3									1	blac	scha										0	0	0
of Maiming	100	1	1	53		45				1	15	dmg-max		3	4									1	blac	scha										0	0	0
of Maiming	100	1		53		45				1	15	dmg-max		4	7									1	blac	scha										0	0	0
of Balance	100	1	1	1		1				2	18	balance3		10	10											lcha										0	0	0
of Balance	100	1	1	30		23				2	18	balance3		15	15											lcha										0	0	0
of Balance	100	1	1	7		4				2	18	balance2		7	7											mcha										0	0	0
of Balance	100	1	1	34		27				2	18	balance2		10	10											mcha										0	0	0
of Balance	100	1	1	10		7				2	18	balance1		3	3											scha										0	0	0
of Balance	100	1	1	37		30				2	18	balance1		5	5											scha										0	0	0
of Inertia	100	1	1	25		21				3	19	move3		12	12											lcha										0	0	0
of Inertia	100	1	1	30		24				3	19	move2		8	8											mcha										0	0	0
of Inertia	100	1	1	35		27				3	19	move1		4	4											scha										0	0	0
of Greed	100	1	1	1	31	1				2	21	gold%		10	15									1	dgld	lcha										0	0	0
of Greed	100	1	1	31		24				2	21	gold%		16	30									1	dgld	lcha										0	0	0
of Greed	100	1	1	70		47				1	21	gold%		31	45									1	dgld	lcha										0	0	0
of Greed	100	1		70		47				1	21	gold%		46	100									1	dgld	lcha										0	0	0
of Greed	100	1	1	1	32	1				2	21	gold%		7	10									1	dgld	mcha										0	0	0
of Greed	100	1	1	32		27				2	21	gold%		11	20									1	dgld	mcha										0	0	0
of Greed	100	1	1	73		50				1	21	gold%		21	30									1	dgld	mcha										0	0	0
of Greed	100	1		73		50				1	21	gold%		31	70									1	dgld	mcha										0	0	0
of Greed	100	1	1	1	34	1				2	21	gold%		3	5									1	dgld	scha										0	0	0
of Greed	100	1	1	34		30				2	21	gold%		5	10									1	dgld	scha										0	0	0
of Greed	100	1	1	76		53				2	21	gold%		11	15									1	dgld	scha										0	0	0
of Greed	100	1		76		53				2	21	gold%		16	35									1	dgld	scha										0	0	0
of Fortune	100	1	1	1	31	1				2	22	mag%		10	15									1	lgld	lcha										0	0	0
of Fortune	100	1	1	31		24				2	22	mag%		16	25									1	lgld	lcha										0	0	0
of Fortune	100	1	1	70		47				2	22	mag%		26	40									1	lgld	lcha										0	0	0
of Fortune	100	1		70		47				2	22	mag%		41	70									1	lgld	lcha										0	0	0
of Fortune	100	1	1	1	32	1				2	22	mag%		7	10									1	lgld	mcha										0	0	0
of Fortune	100	1	1	32		27				2	22	mag%		11	17									1	lgld	mcha										0	0	0
of Fortune	100	1	1	73		50				2	22	mag%		18	29									1	lgld	mcha										0	0	0
of Fortune	100	1		73		50				2	22	mag%		30	50									1	lgld	mcha										0	0	0
of Fortune	100	1	1	1	34	1				2	22	mag%		3	5									1	lgld	scha										0	0	0
of Fortune	100	1	1	34		30				2	22	mag%		6	8									1	lgld	scha										0	0	0
of Fortune	100	1	1	76		53				2	22	mag%		9	14									1	lgld	scha										0	0	0
of Fortune	100	1		76		53				2	22	mag%		15	25									1	lgld	scha										0	0	0
of Life	100	1	1	1		1				4	24	hp		3	10									1	cred	lcha										0	0	0
of Life	100	1	1	7		5				4	24	hp		9	15									1	cred	lcha										0	0	0
of Life	100	1	1	13		9				4	24	hp		14	20									1	cred	lcha										0	0	0
of Substinence	100	1	1	19		14				4	24	hp		21	25									1	cred	lcha										0	0	0
of Substinence	100	1	1	25		18				4	24	hp		26	30									1	cred	lcha										0	0	0
of Substinence	100	1	1	31		23				4	24	hp		31	35									1	cred	lcha										0	0	0
of Vita	100	1	1	37		29				4	24	hp		36	40									1	cred	lcha										0	0	0
of Vita	100	1	1	43		35				4	24	hp		41	50									1	cred	lcha										0	0	0
of Vita	100	1		49		41				4	24	hp		51	60									1	cred	lcha										0	0	0
of Life	100	1	1	1		1				5	24	hp		2	7									1	cred	mcha										0	0	0
of Life	100	1	1	9		6				5	24	hp		8	10									1	cred	mcha										0	0	0
of Life	100	1	1	17		12				5	24	hp		11	14									1	cred	mcha										0	0	0
of Substinence	100	1	1	25		18				5	24	hp		15	18									1	cred	mcha										0	0	0
of Substinence	100	1	1	33		25				5	24	hp		19	26									1	cred	mcha										0	0	0
of Vita	100	1	1	41		33				5	24	hp		27	33									1	cred	mcha										0	0	0
of Vita	100	1		49		41				5	24	hp		34	40									1	cred	mcha										0	0	0
of Life	100	1	1	1		1				6	24	hp		1	4									1	cred	scha										0	0	0
of Life	100	1	1	12		9				6	24	hp		5	10									1	cred	scha										0	0	0
of Substinence	100	1	1	32		24				6	24	hp		11	16									1	cred	scha										0	0	0
of Vita	100	1		48		40				6	24	hp		17	20									1	cred	scha										0	0	0
of Strength	100	1	1	1	14	1				3	30	str		3	10									1	lpur	lcha										0	0	0
of Strength	100	1	1	14		10				3	30	str		11	15									1	lpur	lcha										0	0	0
of Strength	100	1	1	24		20				3	30	str		16	20									1	lpur	lcha										0	0	0
of Strength	100	1		34		30				3	30	str		21	30									1	lpur	lcha										0	0	0
of Strength	100	1	1	10	21	6				4	30	str		2	6									1	lpur	mcha										0	0	0
of Strength	100	1	1	21		17				4	30	str		7	10									1	lpur	mcha										0	0	0
of Strength	100	1	1	32		28				4	30	str		11	13									1	lpur	mcha										0	0	0
of Strength	100	1		32		28				4	30	str		14	20									1	lpur	mcha										0	0	0
of Strength	100	1	1	16	36	12				5	30	str		1	3									1	lpur	scha										0	0	0
of Strength	100	1	1	36		32				5	30	str		4	5									1	lpur	scha										0	0	0
of Strength	100	1	1	56		32				5	30	str		6	7									1	lpur	scha										0	0	0
of Strength	100	1		56		32				5	30	str		8	10									1	lpur	scha										0	0	0
of Dexterity	100	1	1	1	24	1				3	31	dex		3	10									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	14		10				3	31	dex		11	15									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	24		20				3	31	dex		16	20									1	cgrn	lcha										0	0	0
of Dexterity	100	1		34		30				3	31	dex		21	30									1	cgrn	lcha										0	0	0
of Dexterity	100	1	1	10	21	6				4	31	dex		2	6									1	cgrn	mcha										0	0	0
of Dexterity	100	1	1	21		17				4	31	dex		7	10									1	cgrn	mcha										0	0	0
of Dexterity	100	1	1	32		28				4	31	dex		11	13									1	cgrn	mcha										0	0	0
of Dexterity	100	1		32		28				4	31	dex		14	20									1	cgrn	mcha										0	0	0
of Dexterity	100	1	1	16		12				5	31	dex		1	3									1	cgrn	scha										0	0	0
of Dexterity	100	1	1	36		32				5	31	dex		4	5									1	cgrn	scha										0	0	0
of Dexterity	100	1	1	56		32				5	31	dex		6	7									1	cgrn	scha										0	0	0
of Dexterity	100	1		56		32				5	31	dex		8	10									1	cgrn	scha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		5	10	abs-cold		5	10	abs-ltng		5	10	1	dpur	lcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		3	6	abs-cold		3	6	abs-ltng		3	6	1	dpur	mcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		2	5	abs-cold		2	5	abs-ltng		2	5	1	dpur	scha										0	0	0
of the Rogue	100	1	1	25		14				2	33	mag%/lvl	2											1	dgld	lcha										0	0	0
of the Rogue	100	1	1	55		29				2	33	mag%/lvl	3											1	dgld	lcha										0	0	0
of the Rogue	100	1		85		44				1	33	mag%/lvl	4											1	dgld	lcha										0	0	0
of the Rogue	100	1	1	45		23				2	33	mag%/lvl	1											1	dgld	mcha										0	0	0
of the Rogue	100	1	1	85		46				1	33	mag%/lvl	2											1	dgld	mcha										0	0	0
of the Rogue	100	1		85		46				1	33	mag%/lvl	3											1	dgld	mcha										0	0	0
of the Rogue	100	1	1	85		48				1	33	mag%/lvl	1											1	lgld	scha										0	0	0
of the Rogue	100	1		85		48				1	33	mag%/lvl	2											1	lgld	scha										0	0	0
of the Collector	100	1	1	25		14				2	33	gold%/lvl	2											1	lgld	lcha										0	0	0
of the Collector	100	1	1	55		29				2	33	gold%/lvl	3											1	lgld	lcha										0	0	0
of the Collector	100	1		85		44				1	33	gold%/lvl	4											1	lgld	lcha										0	0	0
of the Collector	100	1	1	45		23				2	33	gold%/lvl	1											1	lgld	mcha										0	0	0
of the Collector	100	1	1	85		46				1	33	gold%/lvl	2											1	dgld	mcha										0	0	0
of the Collector	100	1		85		46				1	33	gold%/lvl	3											1	dgld	mcha										0	0	0
of the Collector	100	1	1	85		48				1	33	gold%/lvl	1											1	dgld	scha										0	0	0
of the Collector	100	1		85		48				1	33	gold%/lvl	2											1	dgld	scha										0	0	0
of the Valiant	100	1	1	19		14				2	34	crush		4	6									1	cgrn	lcha										0	0	0
of the Valiant	100	1	1	70		60				1	34	crush		7	15									1	cgrn	lcha										0	0	0
of the Valiant	100	1	1	24		18				2	34	crush		3	4									1	cgrn	mcha										0	0	0
of the Valiant	100	1	1	75		60				2	34	crush		5	10									1	cgrn	mcha										0	0	0
of the Valiant	100	1	1	35		27				2	34	crush		2	3									1	cgrn	scha										0	0	0
of the Valiant	100	1	1	86		60				2	34	crush		4	6									1	cgrn	scha										0	0	0
of the Wicked	100	1	1	19		14				2	35	deadly		4	6									1	cblu	lcha										0	0	0
of the Wicked	100	1	1	70		60				2	35	deadly		7	15									1	cblu	lcha										0	0	0
of the Wicked	100	1	1	24		18				2	35	deadly		3	4									1	cblu	mcha										0	0	0
of the Wicked	100	1	1	75		60				2	35	deadly		5	10									1	cblu	mcha										0	0	0
of the Wicked	100	1	1	35		27				2	35	deadly		2	3									1	cblu	scha										0	0	0
of the Wicked	100	1	1	86		60				2	35	deadly		4	6									1	cblu	scha										0	0	0
of the Angel	100	1	1	10		6				2	36	hp/lvl	1											1	cred	lcha										0	0	0
of the Angel	100	1	1	20		13				2	36	hp/lvl	2											1	cred	lcha										0	0	0
of the Angel	100	1	1	30		20				2	36	hp/lvl	3											1	cred	lcha										0	0	0
of the Angel	100	1	1	40		27				2	36	hp/lvl	4											1	cred	lcha										0	0	0
of the Angel	100	1	1	50		33				1	36	hp/lvl	5											1	cred	lcha										0	0	0
of the Angel	100	1		60		40				1	36	hp/lvl	6											1	cred	lcha										0	0	0
of the Angel	100	1	1	15		10				2	36	hp/lvl	1											1	cred	mcha										0	0	0
of the Angel	100	1	1	30		21				2	36	hp/lvl	2											1	cred	mcha										0	0	0
of the Angel	100	1	1	45		32				2	36	hp/lvl	3											1	cred	mcha										0	0	0
of the Angel	100	1		60		43				1	36	hp/lvl	4											1	cred	mcha										0	0	0
of the Angel	100	1	1	32		22				2	36	hp/lvl	1											1	cred	scha										0	0	0
of the Angel	100	1		64		46				1	36	hp/lvl	2											1	cred	scha										0	0	0
of the Lurker	100	1	1	1	21	1				2	37	regen		3	5									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	21		16				2	37	regen		6	25									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	37		32				1	37	regen		26	50									1	dgld	lcha										0	0	0
of the Lurker	100	1	1	1	25	1				2	37	regen		2	3									1	dgld	mcha										0	0	0
of the Lurker	100	1	1	25		20				2	37	regen		4	20									1	dgld	mcha										0	0	0
of the Lurker	100	1	1	41		36				1	37	regen		21	35									1	dgld	mcha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2									1	lgld	scha										0	0	0
of the Lurker	100	1	1	30		36				2	37	regen		3	8									1	lgld	scha										0	0	0
of the Lurker	100	1	1	55		42				1	37	regen		9	20									1	lgld	scha										0	0	0
of Hellfire	100	1	1	85		60				1	38	pierce-fire		1	2									1	cred	scha										0	0	0
of Permafrost	100	1	1	85		60				1	38	pierce-cold		1	2									1	cblu	scha										0	0	0
of the Stormcaller	100	1	1	85		60				1	38	pierce-ltng		1	2									1	lyel	scha										0	0	0
of the Tarantula	100	1	1	85		60				1	38	pierce-pois		1	2									1	cgrn	scha										0	0	0
of the Mystic	100	1	1	85		60				1	38	extra-mag2		2	4									1	bwht	scha										0	0	0
of Legion	100	1	1	85		60				1	38	extra-summ		1	2									1	blac	scha										0	0	0
of Faith	100	1	1	23		16				6	3	abs-fire		6	12									1	cred	jewl										0	0	0
of Stoicism	100	1	1	22		16				6	3	abs-ltng		6	12									1	lgld	jewl										0	0	0
of Desire	100	1	1	23		16				6	3	abs-cold		6	12									1	cblu	jewl										0	0	0
of Malice	100	1	1	25	52	20				10	6	thorns		100	200									1	blac	jewl										0	0	0
of Malice	100	1	1	52		45				10	6	thorns		201	350									1	blac	jewl										0	0	0
of Malice	100	1	1	70		60				10	6	thorns		351	500									1	blac	jewl										0	0	0
of Fervor	100	1	1	39		31				10	7	swing1		10	20									1	dpur	jewl										0	0	0
of Fervor	100	1		39		31				10	7	swing1		15	30									1	dpur	jewl										0	0	0
of Frigidity	100	1	1	16	35	12				8	10	cold-min		10	20	cold-max		21	40	cold-len		50	50	1	dblu	jewl										0	0	0
of the Icicle	100	1	1	35		31				8	10	cold-min		21	40	cold-max		41	80	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100	1	1	58		54				8	10	cold-min		81	160	cold-max		161	300	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100	1		58		54				8	10	cold-min		161	225	cold-max		301	400	cold-len		50	50	1	dblu	jewl										0	0	0
of Passion	100	1	1	16	35	12				8	12	fire-min		15	25	fire-max		26	45					1	dred	jewl										0	0	0
of Fire	100	1	1	35		31				8	12	fire-min		26	45	fire-max		46	85					1	dred	jewl										0	0	0
of Burning	100	1	1	58		54				8	12	fire-min		91	170	fire-max		171	310					1	dred	jewl										0	0	0
of Burning	100	1		58		54				8	12	fire-min		180	240	fire-max		315	415					1	dred	jewl										0	0	0
of Ennui	100	1	1	16	35	12				8	13	ltng-min		1	1	ltng-max		41	70					1	dyel	jewl										0	0	0
of Lightning	100	1	1	35		31				8	13	ltng-min		1	1	ltng-max		71	140					1	dyel	jewl										0	0	0
of Thunder	100	1	1	58		54				8	13	ltng-min		1	1	ltng-max		260	500					1	dyel	jewl										0	0	0
of Thunder	100	1		58		54				8	13	ltng-min		1	1	ltng-max		500	700					1	dyel	jewl										0	0	0
of Ire	100	1	1	4		3				10	14	dmg-max		1	6									1	dgry	jewl										0	0	0
of Wrath	100	1	1	11		8				10	14	dmg-max		7	15									1	blac	jewl										0	0	0
of Carnage	100	1	1	25		18				10	14	dmg-max		16	30									1	blac	jewl										0	0	0
of Carnage	100	1		25		18				10	14	dmg-max		20	35									1	blac	jewl										0	0	0
of Joyfulness	100	1	1	5		3				10	15	dmg-min		1	4									1	whit	jewl										0	0	0
of Bliss	100	1	1	43		37				10	15	dmg-min		5	10									1	whit	jewl										0	0	0
of Bliss	100	1	1	63		50				10	15	dmg-min		11	20									1	whit	jewl										0	0	0
of Bliss	100	1		63		50				10	15	dmg-min		15	25									1	whit	jewl										0	0	0
of Envy	100	1	1	1		1				8	16	pois-min		307	307	pois-max		614	614	pois-len		50	50	1	dgrn	jewl										0	0	0
of Blight	100	1	1	16		12				8	16	pois-min		563	563	pois-max		1280	1280	pois-len		50	50	1	dgrn	jewl										0	0	0
of Venom	100	1	1	35		31				8	16	pois-min		2048	2048	pois-max		4096	4096	pois-len		50	50	1	dgrn	jewl										0	0	0
of Pestilence	100	1		58		54				8	16	pois-min		3840	3840	pois-max		6144	6144	pois-len		50	50	1	dgrn	jewl										0	0	0
of Daring	100	1	1	9		6				10	17	dex		1	8									1	lgrn	jewl										0	0	0
of Daring	100	1	1	24		18				10	17	dex		9	16									1	dgrn	jewl										0	0	0
of Daring	100	1	1	41		33				10	17	dex		17	24									1	cgrn	jewl										0	0	0
