skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Call of the Wild	246	dru	call of the wild		27										callofthewild									callofthewild		25		velocitypercent	10+lvl	attackrate	500	item_armor_percent	50+lvl*10	swing2	500																																																																															callofthewild											1		1	0		none												SC	SC	xx																														30	20					Contagion							max(75,255-175*lvl/39)		0	1					1	8	15	1	1	1																						25	HP % per level	0	Bonus Level											2	Radius per level (must match Barbs Aura Param2)									1								8																																				896	64000	0
Summon Grizzly	247	dru	summon grizzly		119																							fireresist	"min(75,10+lvl)"	coldresist	"min(75,10+lvl)"	lightresist	"min(75,10+lvl)"	poisonresist	"min(75,10+lvl)"	armorclass	par4*lvl	tohit	par4*lvl										item_armor_percent	lvl*par2+skill('Feral Mastery'.lvl)*5	damagepercent	(100+skill('Feral Mastery'.lvl)*2)*(100+stat('passive_summ_mastery'.accr))/100-100	item_tohit_percent	lvl*par6+skill('Feral Mastery'.lvl)*5	item_crushingblow	15+skill('Feral Mastery'.lvl)/2	coldmindam	edmn	coldmaxdam	edmx																	druidbear	waterelm	1	S1	Shock Wave	lvl												druid_summon																																	1	0		none												SC	SC	xx				1	4																									30	20														0	1					1	7	80	5	1	1										lvl*par1+skill('Feral Mastery'.lvl)*5	hp %	ulvl	pet lvl	(par3+ast5)*(100+pst1)/100	Def calc for display	(par7+ast6)*(100+pst3)/100						20	hp% per level	5	def% per level	245	base def for display	10	def/ar per level	10	dmg% per level	20	ar% per level	300	base ar for display											1	300	20						8		20	10	20	30	40	40	40	10	20	30	40	40		cold	5	5	10	15	20	20	10	10	15	20	25	25	(100+skill('Feral Mastery'.lvl)*2)*(100+stat('passive_summ_mastery'.accr))/100-100	25	5	5	5					100	0
Fury	248	dru	fury	6	11													furymissile	furymissile	furymissile																																																																																									19						furymissile	furymissile	furymissile										1	0		h2h												A1	A1	A1				1		1	1													1										30	20					Rabies			2	wolf					1	1					1	6	8	1	1											1+lvl/15+skill('Hunger'.blvl)/15+skill('Feral Rage'.blvl)/15	# missiles																			2	Targets	6	Max targets			6	damage synergy									1	50	10						8	96																																				100	0
Cataclysm	249	dru	cataclysm		28													cataclysm																																																																												druid_windcast															28						cataclysm												1	0		none												SC	SC	xx					4																									24	20					Sandstorm			1				100		0	1					1	8	25	2	1											par1	radius	par2	spawn freq									15	radius	1	spawn freq											5	damage synergy									1								8		12	12	16	20	24	24	24	12	16	20	24	24	(100+(skill('Cyclone Armor'.blvl)+skill('Elemental Form'.blvl)+skill('Twister'.blvl)+skill('Sandstorm'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100																							100	0
Hurricane	250	dru	hurricane		124																		42883	hurricane		ln12 + skill('Cyclone Armor'.blvl) * par7	par5+lvl/4																																																																			druid_windcast										druid_hurricane											hurricaneswoosh	hurricanerock	hurricanetree		3	debris/frame	75	height					1	0		none												SC	SC	xx																														18	25					Frozen Blast			1				75		0	1					1	8	25	2	1	1																						2000	base duration	100	duration per level			5	frames per hit search	8	radius			100	duration synergy	6	damage synergy									1				1	2			7															cold	2	2	2	6	10	12	4	4	4	8	12	14	(skill('Elemental Form'.blvl)+skill('Frozen Blast'.blvl)+skill('Cyclone Armor'.blvl)+skill('Monsoon'.blvl)+skill('Ice Explosion'.blvl))*par8	50								100	0
Fire Trauma	251	ass	fire trauma												bomb in air		1										par1+lvl/4																																																																							weapon_throw_1																bomb in air													1	0		rng												S2	S2	S2				1																1										1	30														1	1					1	5	24	1	1																							5	radius	1	radius per level									8	damage synergy	10	damage synergy									1								8															cold	10	10	15	25	40	40	40	10	15	25	40	40	(skill('STeeth'.blvl)+skill('SCold Missiles'.blvl))*par8+(skill('Shock Field'.blvl)+skill('Lightning Sentry'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Inferno Sentry'.blvl)+skill('Death Sentry'.blvl))*par7	50	10	10	10		11			100	0
Claw Mastery	252	ass	claw mastery																																											clawmastery			passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																									1	0		none												SC	SC	xx				1																										1	30														0	0					0	8	0	0	1								1															30	Attack rating bonus percent	12	Percent attack rating per level	30	% damage percent	6	damage % per level	0	critical%	30	critical%													1								8																																		10			100	0
Psychic Hammer	253	ass	psychic hammer	39	26													psychichammer	psychichammer	psychichammer				penaltydefensestate		50	par1	damageresist	-50																																																																	assassin_psychichammer											psychic_hammer_curse				27						psychichammer	psychichammer	psychichammer										1	0		rng												S2	S2	S2				1																1			4							18	25					Cloak of Shadows									1	1		1			1	6	8	1	1											2+lvl/3	# hits	max(25,par2-par3*lvl)										12	radius of jump to next target	200		3										8	damage synergy									1				9				8	160														mag	2	2	4	4	6	6	4	4	6	6	8	8	(skill('Cloak of Shadows'.blvl)+skill('Mind Blast'.blvl))*par8						5		256	5000	0
Cobra Strike	254	ass	cobra strike	10	14													dragonblade	dragonblade	dragonblade							7																																																																																		22						dragonblade	dragonblade	dragonblade										1	2		h2h		2hsw	knif	h2h								A1	A1	A1				1		1	1								1															1	30														1	1					1	8	4	0	0					1						8	radius	2+lvl/6										1	additional target/level	10	% frame rollback	-50	% damage percent	12	damage % per level							7	damage % per level									1	50		10*lvl					8	96	6	3	6	9	12	12	9	3	6	9	12	12	(skill('Blade Nova'.blvl)+skill('Blade Sentinel'.blvl)+skill('Tiger Strike'.blvl)+skill('Dragon Tail'.blvl))*par8																				4			100	0
Tiger Strike	255	ass	tiger strike	23	34									1										progressive_damage		par3		progressive_damage		progressive_tohit	par4																																																																						assassinfootimpact		tigerstrike1	assassin_chargeup_tiger_1							12	12	12														1	0		h2h		mele										A1	A1	A2				1		1	1								1															1	30								1						1	1					1	8	1	0	1									1		ln12+(skill('Dragon Fury'.blvl)+skill('Dragon Talon'.blvl)+skill('Dragon Tail'.blvl)+skill('Execute'.blvl)+skill('Iaigiri'.blvl))*par8	progressive damage											100	% Damage bonus	30	% damage per level	4500	duration	50	tohit bonus for each charge-up					25	claw skills duration synergy	15	damage synergy									1	75	15						8	128																																	4			100	0
Shock Field	256	ass	shock field		43						par1+lvl/par2							shock field in air									3+skill('Death Sentry'.blvl)/4																																																																							weapon_throw_1											5						shock field in air												1	0		rng												S2	S2	S2				1																1										1	30														1	1					1	8	6	0	1																							6	Number of missiles	2	Levels per missile									6	damage synergy	8	damage synergy									1								8															ltng	1	0	0	0	0	0	12	6	10	14	20	20	(skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl)+skill('Inferno Sentry'.blvl)+skill('Death Sentry'.blvl))*par8+(skill('STeeth'.blvl)+skill('SCold Missiles'.blvl)+skill('Fire Trauma'.blvl))*par7						11			100	0
Blade Sentinel	257	ass	blade sentinel		44													blade creeper																															tohit	lvl*5																											bladecreeper	assassintrap	5+skill('Blade Nova'.blvl)/4	S1	Blade Sentinel	lvl												assassin_summon																																	1	0		rng												S2	S2	S2				1																										6	30												25		1	1					1	8	7	0	1																	ln12+skill('Blade Nova'.blvl)*par7						100	duration		duration per level	5	Total number assassin traps	3	Total number pet traps					5	duration synergy	12	damage synergy									1								8	32	6	3	6	9	12	12	9	3	6	9	12	12	(100+(skill('Blade Nova'.blvl)+skill('Blade Fury'.blvl)+skill('Shuriken'.blvl)+skill('Cobra Strike'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100																				11	3		100	0
Quickness	258	ass	quickness		18																			quickness		ln56+(skill('Fade'.blvl)+skill('Venom'.blvl)+skill('Shade Armor'.blvl))*par6		velocitypercent	dm12	attackrate	dm34																																																															assassin_quickness																																	1	0		none												SC	SC	SC				1																1										6	30								1						0	1					1	8	10	0	1	1																						15	% min increased walk speed	70	% max increased walk speed	15	min % increased attack speed	60	max % increased attack speed	3000	duration	300	duration per level													1								8																																		1			100	0
Fists of Fire	259	ass	fists of fire	23	35		1	40	40	40	5+lvl/2							fistsoffirenova	fistsoffirefury	fistsoffireflower				progressive_fire		par3		progressive_fire		progressive_tohit	par4																																																																																14	14	14		fistsoffirenova	fistsoffirefury	fistsoffireflower										1	0		h2h	3	h2h										SQ	A1	A1	16			1		1	1								1															6	30														1	1					1	8	4	0	1									1		5+lvl/2	# of fire bolts											5	Radius of explosion	8	Radius of firewall fragments	4500	duration	50	tohit bonus for each charge-up					5	fire duration synergy	7	AR synergy									1	75		15*lvl+(skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl))*par8					8	128														fire																			4			100	0
Dragon Tail	260	ass	dragon tail	27	50													dragontail missile									par3+lvl/5																																																																			assassin_kick_1														9	7						dragontail missile												1	0		h2h	4											KK	KK	A1				1			1								1															1	30								1						1	1		1			1	7	4	1	1					1	0	3				ln12+(skill('Dragon Talon'.blvl)+skill('Iaigiri'.blvl))*par8	damagepercent											50	Percent area damage min	10	percent area damage per level	6	Radius	-40	Attack rate penalty							10	damage synergy									1							1	8	128														fire																			4			100	0
Charged Bolt Sentry	261	ass	charged bolt sentry		45																																												passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																									chargeboltsentry	assassintrap2	4	S1	BoltSentry	lvl	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)						assassin_summon																																	1	0		rng												S2	S2	S2				1	4															1										6	30					Shock Field									0	1					1	8	13	0	1																	par1						10	Shots fired/Bolt#													10	damage synergy									1								8															fire	12	6	8	10	12	12	15	8	10	12	15	15	(skill('Shock Field'.blvl)+skill('Lightning Sentry'.blvl)+skill('Inferno Sentry'.blvl)+skill('Death Sentry'.blvl))*par8						3			100	0
Wake of Fire Sentry	262	ass	wake of fire sentry		45																																												passive_summ_mastery	ln12	item_summskills	blvl*ulvl/par5/100																																							32			assassin_summon																																	1	0		none												SC	SC	xx																														6	30														1	1					1	8	13	0	1								1															20	summon melee bonus	4	summon melee bonus/lvl	1	CB to shadows	2	pierce to shadows	3	skill bonus to shadows per X level															1								8																																					100	0
Weapon Block	263	ass	weapon block																																											weaponblock	h2h		passive_weaponblock	dm12																																																																													1	0		rng		h2h					h2h					SC	SC	SC				1																										1	30														1	0					0	8	0	0	1								1															20	min block %	65	max block %																					1								8																																		10			100	0
Cloak of Shadows	264	ass	cloak of shadows		47																		57347	cloak_of_shadows	cloaked	125	dm12	skill_armor_percent	-dm56	magicresist	-(skill('Psychic Hammer'.blvl)+skill('Mind Blast'.blvl))																																																																													7																			1	0		none												SC	SC	SC				1																1										1	30														0	1					1	8	13	0	1																							30	min radius of effect	30	max radius of effect	200	duration min	400	duration max	4	reduce monster ac% min	50	reduce monster ac% max													1								8																																		2			100	0
Dragon Talon	265	ass	dragon talon	39	1																			bonusdamagestate		100		passive_fire_mastery	ln34+(skill('Iaigiri'.blvl)/2+skill('Dragon Tail'.blvl)/2)	passive_cold_mastery	ln34+(skill('Iaigiri'.blvl)/2+skill('Dragon Tail'.blvl)/2)	passive_ltng_mastery	ln34+(skill('Iaigiri'.blvl)/2+skill('Dragon Tail'.blvl)/2)	damagepercent	ln56+(skill('Iaigiri'.blvl)+skill('Dragon Tail'.blvl)+skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl))*par8																																																											assassin_kick_1																																	1	0		h2h	4											KK	KK	A1				1		1	1								1															18	25					Iaigiri			1						1	1		1			1	7	4	1	1					1	0	3				ln12		125										25	base damage	5	damage per level	10	elemental damage bonus	1	elemental damage bonus per level	40	physical damage bonus	4	physical damage bonus per level			2	phys damage synergy									1							1	8	128																																	4			100	0
Blade Fury	266	ass	blade fury	26	48						par4							bladefragmentass																																																																																										8	6						bladefragmentass												1	0		rng												SQ	A1	SC	23	12		1																										12	25					Blade Sentinel									1	1	1		1	6	0	5	8	1	1																							0	"Don't Use, missile range mod"	0	"Don't Use, missile range mod"	3	Min Mana to start casting	5	Frame delay between blades							10	AR synergy									1	20		10*lvl+(skill('Venom'.blvl)+skill('Blade Sentinel'.blvl)+skill('Blade Nova'.blvl))*par8					8	32														pois														25				skill('Venom'.blvl)*5	11			100	0
Fade	267	ass	fade		18																			fade		ln56+(skill('Quickness'.blvl)+skill('Venom'.blvl)+skill('Shade Armor'.blvl))*par6		fireresist	dm12	coldresist	dm12	lightresist	dm12	poisonresist	dm12	curse_resistance	dm34	damageresist	lvl/2										fade	2																																												assassin_fade																																	1	0		none												SC	SC	SC				1																1										18	25					Quickness			1						0	1					1	8	10	0	1	1																						25	min Elemental resistance	100	max elemental resist	25	min curse length reduction	90	max curse length reduction	3000	duration	300	Duration per level	1	damage resist %	1	damage resist % per level									1								8																																		1			100	0
Shadow Warrior	268	ass	shadow warrior		49																			shadowwarrior				tohit	(lvl+skill('Shadow Master'.blvl))*par2	skill_armor_percent	(lvl+skill('Shadow Master'.blvl))*par3	strength	(lvl+skill('Shadow Master'.blvl))*par4	dexterity	(lvl+skill('Shadow Master'.blvl))*par4	item_crushingblow	skill('Wake of Fire Sentry'.blvl)*skill('Wake of Fire Sentry'.par3)	item_allskills	stat('item_summskills'.accr)										fireresist	"min(lvl*2,75)"	coldresist	"min(lvl*2,75)"	lightresist	"min(lvl*2,75)"	poisonresist	"min(lvl*2,75)"	item_normaldamage	edmn																			shadowwarrior	shadowwarrior	1+(skill('Wake of Fire Sentry'.lvl))/15	NU											42			assassin_summon																																	1	0		none												SC	SC	SC				1	4																									12	25					Wake of Fire Sentry			1						0	1					1	7	54	1	1	1																						15	Plus % HP per level	40	plus to hit per level	12	Plus % AC per level	10	str/dex bonus	30	base item quality level	2	item quality per level													1								8																																					100	0
Dragon Fury	269	ass	dragon fury	23	35		1	40	40	40								dragonfurynova	dragonfuryambush	dragonfuryshuriken				progressive_physical		par3		progressive_physical		progressive_tohit	par4																																																																																14	14	14		dragonfurynova	dragonfuryambush	dragonfuryshuriken										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1					1										18	25					Tiger Strike									1	1					1	8	4	0	1									1		5+lvl/4	# shuriken from ambush											4	skip			4500	duration	50	tohit bonus for each charge-up							10	AR synergy									1	75		15*lvl+(skill('Tiger Strike'.blvl)+skill('Execute'.blvl))*par8					8	128																																	4			100	0
Claws of Thunder	270	ass	claws of thunder	23	35		1	26	40	40	10+lvl/2							clawsofthunderchainlightning	clawsofthundernovacustom	clawsofthunderorb				progressive_lightning		par3		progressive_lightning		progressive_tohit	par4																																																																																27	14	14		clawsofthunderchainlightning	clawsofthundernovacustom	clawsofthunderorb										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1															18	25					Fists of Fire									1	1					1	8	4	0	1									1		10+lvl/2	# chain hits											4	skip			4500	duration	50	tohit bonus for each charge-up							7	AR synergy									1	75		15*lvl+(skill('Fists of Fire'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl))*par8					8	128														ltng																			4			100	0
Lightning Sentry	271	ass	lightning sentry		45																																												passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)																									lightningsentry	assassintrap3	4	S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)						assassin_summon																																	1	0		rng												S2	S2	S2				1	4															1										18	25					Charged Bolt Sentry									0	1					1	8	20	0	1																							10	Shots fired													10	damage synergy									1								8															ltng	1	0	0	0	0	0	50	20	34	44	56	56	(skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Inferno Sentry'.blvl)+skill('Death Sentry'.blvl))*par8						3			100	0
Inferno Sentry	272	ass	inferno sentry		45																																												passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																									infernosentry	assassintrap4	4	S1	inferno meteor	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)			32			assassin_summon																																	1	0		rng												S2	S2	S2				1	4															1										24	20					Lightning Sentry									0	1					1	8	20	0	1																							10	Shots fired													10	damage synergy									1								8															fire	20	20	26	32	40	40	26	26	32	38	46	46	(skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl)+skill('Death Sentry'.blvl))*par8						3			100	0
Mind Blast	273	ass	mind blast		28													mindblast																																																																												assassin_psychichammer							fist_will_cast								28						mindblast												1	0		rng												SC	SC	SC				1			1													1										30	20					Psychic Hammer							max(100,250-lvl*3)		1	1					1	7	10	2	1																							40	length of stun	2	additional lengh of stun	0	conversion length min	0	conversion length random range					4	radius	8	damage synergy									1				9				8	96														mag	2	2	4	4	6	6	4	4	6	6	8	8	(skill('Cloak of Shadows'.blvl)+skill('Psychic Hammer'.blvl))*par8						11			100	0
Blades of Ice	274	ass	blades of ice	23	35		1	40	40	40								bladesoficenova	bladesoficemeteorrain	bladesoficeflower				progressive_cold		par3		progressive_cold		progressive_tohit	par4																																																																																14	14	14		bladesoficenova	bladesoficemeteorrain	bladesoficeflower										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1															24	20					Claws of Thunder									1	1					1	8	4	0	1									1														8	Second level radius	4	Third level radius	4500	duration	50	tohit bonus for each charge-up	1	freeze length divisor			5	duration synergy	7	AR synergy									1	75		15*lvl+(skill('Claws of Thunder'.blvl)+skill('Fists of Fire'.blvl)+skill('Royal Strike'.blvl))*par8					8	128														cold																			4			100	0
Execute	275	ass	execute	23	35		1	40	40	40								executehealnova	executeflowernova	executeorbnova				progressive_execute		par3		progressive_execute		progressive_tohit	par4																																																																																14	14	14		executehealnova	executeflowernova	executeorbnova										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1															24	20					Dragon Fury									1	1					1	8	4	0	1									1		10+lvl/2	% heal											4	skip			4500	duration	50	tohit bonus for each charge-up							10	AR synergy									1	75		15*lvl+(skill('Tiger Strike'.blvl)+skill('Dragon Fury'.blvl))*par8					8	128																																	4			100	0
Death Sentry	276	ass	death sentry		45																						ln34/2																						passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																					deathsentry	assassintrap5	4	S1	mon death sentry	lvl	death sentry ltng	lvl	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	32			assassin_summon																																	1	0		rng												S2	S2	S2				1	4															1										30	20					Inferno Sentry									0	1					1	8	20	0	1																							10	Shots fired			16	radius (half squares)	1	additional radius/level (half squares)							10	damage synergy									1								8															ltng	1	0	0	0	0	0	60	18	24	30	36	36	(skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl)+skill('Inferno Sentry'.blvl))*par8						3			100	0
Blade Nova	277	ass	blade nova	39	27										bladenova									ironskin		25+lvl*2		damageresist	14+lvl+skill('Cobra Strike'.blvl)/2																																																																																					bladenova											1		1	0		none												SC	SC	SC				1																1										30	20								1				75		0	1					1	8	10	1	1	1												25+lvl*2	duration																							10	AR synergy									1	50		10*lvl+(skill('Cobra Strike'.blvl)+skill('Blade Sentinel'.blvl))*par8					8	26																																	11			100	0
Venom	278	ass	venom		18																			venomclaws		ln12+(skill('Quickness'.blvl)+skill('Fade'.blvl)+skill('Shade Armor'.blvl))*par2		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																																													assassin_venom																																	1	0		none												SC	SC	SC				1																1										24	20					Fade			1						0	1					1	8	12	0	1	1																						3000	duration	125	duration per level					0	?	0	?			5	damage synergy									1								6															pois	20	6	8	16	20	20	30	10	14	20	24	24	(skill('Blade Sentinel'.blvl)+skill('Blade Nova'.blvl))*par8+skill('Blade Fury'.blvl)*20	10					1			100	0
Shadow Master	279	ass	shadow master		49																			shadowwarrior				tohit	(lvl+skill('Shadow Warrior'.blvl))*par2	skill_armor_percent	(lvl+skill('Shadow Warrior'.blvl))*par3	strength	(lvl+skill('Shadow Warrior'.blvl))*par4	dexterity	(lvl+skill('Shadow Warrior'.blvl))*par4	item_allskills	stat('item_summskills'.accr)												fireresist	"min(lvl*2,75)"	coldresist	"min(lvl*2,75)"	lightresist	"min(lvl*2,75)"	poisonresist	"min(lvl*2,75)"																					shadowmaster	shadowmaster	1+(skill('Wake of Fire Sentry'.lvl))/20	NU											42			assassin_summon																																	1	0		none												SC	SC	SC				1																										24	20					Shadow Warrior			1						0	1					1	7	70	1	1	1																						15	Pluse % HP per level	40	plus to hit per level	12	Plus % AC per level	10	str/dex bonus	30	base item quality level	2	item quality per level													1								8																																					100	0
Royal Strike	280	ass	royal strike	23	35		1	40	143	41		max(1,4-lvl/10)	10+lvl/3					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		4500	par1	progressive_other		progressive_tohit	par7																																																																																14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1															30	20														1	1					1	8	4	0	1									1		par2												12	radius of jump to next target	10	radius of meteor explosion	100	Frames of fire	0	Frames of fire per level					25	tohit bonus for each charge-up	5	damage synergy									1	105	15		4				8	128																																	4	-3		100	0
Wake Of Destruction Sentry	281				125													wake of destruction maker																																																																																											70						wake of destruction maker												1	0		none												SQ	SQ	S2				1																										1															0	0									1																	par8						6	Number of missiles	2	Number of missiles per level			2	Min Range							5	Shots Fired									1								8																																					0	0
Imp Inferno	282			59	126													impinfernoflame1																																																																																											71						impinfernoflame1	impinfernoflame2			8	Missile Z Offset	lvl-1	Range per level (Duration of missile)					1	0		none												SQ	SQ	SC	6			1																										1															0	0									1											"rand(par3,par4)"	Anim Frame Adder (Min=1)	lvl-1	Range per level (Duration of missile)									30	Range baseline (Duration of missile)			100	Anim Frame Adder Min	120	Anim Frame Adder Max																	1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15										0	0
Imp Fireball	283														impfireball		1																																																																													sorceress_cast_fire											fire_cast_2				72						impfireball				40	Missile Z Offset							1	0		none												SQ	SQ	S2				1																										1															0	0									1																																															1								8																																					0	0
Baal Taunt	284				28													baal taunt control																																																																																						monster_baal_taunt_1				46							baal taunt control												1	0		none												SQ	SQ	A1				1																										1															0	0									1											3	Delay in lightning 	45	Delay in poison clouds									45	Delay in poison clouds	3	Delay in lightning 																					1								8																																					0	0
Baal Corpse Explode	285				141																						ln34																																																																																																				1	0		none												SQ	SQ	S3				1																										1															0	0									1											0	Damage % of base HP for enemy Min	0	Damage % of base HP for enemy Max	0	% Damage Dealt as Elemental											6	Explosion Radius (half squares) baseline	1	Explosion Radius (half squares) per level	40	Radius to search for corpses baseline	0	Radius to search for corpses per level													1								8																																					0	0
Baal Monster Spawn	286														baal spawn monsters		1																																																																													baal_summon																				baal spawn monsters													1	0		none												SQ	SQ	S3				1																										1															0	0									1																																															1								8																																					0	0
Catapult Charged Ball	287				28													catapultchargedball																																																																																										47							catapultchargedball				16	Missile Fall Rate							1	0		none												SQ	SQ	A1				1																										1															0	0									1																	1																														1								8																																					0	0
Catapult Spike Ball	288				28													catapult spike ball																																																																																										47							catapult spike ball				16	Missile Fall Rate							1	0		none												SQ	SQ	A1				1																										1															0	0									1																	ln12						20	# of Spike Missiles created baseline	5	# of Spike Missiles created per level																					1								8																																					0	0
